key,value,reference value,description
sub_details_card.metered_item.footnote,수량은 청구 기간 중 사용량에 따라 달라질 수 있습니다.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,이 고객의 구독 및 요금을 지불하고 있기 때문에이 이메일이 전송되었습니다.,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,이 링크는 7 일 후에 만료됩니다.,This link will expire in 7 days.,
sub_details_card.metered_item.units,단위,Units,
card_offline_pm.instruction.text,서비스 담당자가 도착하면 정확한 금액을 준비했는지 확인하십시오.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,여기에서 세부 정보를 다운로드하고 볼 수 있습니다. 이 링크는 7 일 후에 만료됩니다.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,이 고객의 부모이므로이 이메일을 받게됩니다.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,이 인보이스는 부모 계정에서 지불되었습니다.,This invoice was paid by your parent account,
download_attachments_note.link_text,다운로드,Download,
invoice_details_card.download_link.text,하나 이상의 송장을 모두 다운로드하고 봅니다.,Download and view all invoices,
