key,value,reference value,description
portal.action.success.not_signed_up,Jūs dar neprisiregistravote. Išsiuntėme registracijos nuorodą į jūsų el. Paštą.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Nepažymėtas %{payment_method} kaip atsarginis mokėjimo metodas.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Jau sukonfigūravote klientų portalo paskyrą naudodami šį el. Pašto adresą. Prisijunkite čia.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} išsami informacija atnaujinta.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Viršijote maksimalų bandymų patvirtinti šią banko sąskaitą skaičių,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,"Nepatvirtinote savo el. Pašto adreso. Kitas patvirtinimo el. Laiškas išsiųstas į jūsų sąskaitą. Norėdami prisijungti, turite patvirtinti savo el. Pašto ID.",You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Slaptažodžio nustatymo iš naujo instrukcijas gausite, jei užsiprenumeravote naudodami šį el. Pašto ID.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,"Atrodo, kad URL galiojimo laikas baigėsi arba jis netinkamas. Norėdami paprašyti kitos nuorodos, įveskite savo el. Pašto adresą.",The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Jūs dar neužbaigėte savo registracijos. Mes piktinome registracijos nuoroda į jūsų el. Laišką.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Jūsų slaptažodis sėkmingai pakeistas.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} pridėta kaip mokėjimo metodas,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Jūs sėkmingai patvirtinote savo sąskaitą. Prisijunkite čia.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Sėkmingai atnaujinta pristatymo adreso informacija.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Sėkmingai atnaujinta išsami atsiskaitymo adreso informacija.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Sėkmingai atšaukėte prenumeratą ir pašalinote kredito kortelę.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Sėkmingai atšaukėte prenumeratą.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} ištrinta.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Jūs jau sukonfigūravote savo klientų portalą. Patvirtinimo el. Laiškas išsiųstas. Patvirtinkite savo el. Pašto adresą ir pabandykite prisijungti.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} pažymėta kaip pagrindinis mokėjimo metodas.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Sėkmingai atnaujinta prenumerata.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Sėkmingai atnaujinta paskyros informacija.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Jūsų slaptažodis nebegalioja. Prašau jį pakeisti čia.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Sėkmė: slaptažodis iš naujo nustatytas! Prisijunkite čia.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,"Išsiuntėme el. Laišką su instrukcijomis, kaip užbaigti jūsų prisiregistravimą.",We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} pažymėta kaip atsarginis mokėjimo metodas.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Banko sąskaita sėkmingai patvirtinta.,The bank account is successfully verified.,The bank account is successfully verified.
