key,value,reference value,description
hp.portal.mark.backup,Merk som sikkerhetskopi,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} uker,%{period} Weeks,2 Weeks
hp.portal.powered_by,Drevet av,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,kan ikke være blank,cannot be blank,cannot be blank
action_error.post,Det oppstod feil under innsendingen,There were errors while submitting,There were errors while submitting
hp.change_link,Endring,Change,Change link
hp.portal.signed_up,Registrert på %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Viser,Showing,Showing invoice label
payment_method.info.card,kort som slutter med %{last4_digits},card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, kontonummer som slutter med %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Sikker betaling med gebyr,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Sikkerhetskopiering,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Sett opp direkte belastning,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Merk som Primær,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card, %{card_type} kort,%{card_type} card,Visa Card
hp.apple_card_ending,Kortet slutter ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,du har oppdatert kortopplysningene dine.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Betal sikkert ved hjelp av informasjonen på Amazon-kontoen din.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Fjern sikkerhetskopi,Remove Backup,Unmarking a payment method as Backup
hp.card_ending, %{card_type} kort slutter ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,du har registrert deg for tjenesten,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,SKATT (DER KALKALERES),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Viderekobler til PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,for %{no_of_terms} vilkår,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Det oppstod feil under innsendingen,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Problem under behandlingen av skjemaet ditt. Bekreft skjemaopplysningene dine.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Hoved,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,PayPal Express Checkout-konto,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,"Jeg (vi) autoriserer herved og ber %{merchant_name} om å belaste penger fra min (vår) konto hos den angitte finansinstitusjonen, og kreditere midlene. Jeg (vi) autoriserer %{merchant_name} til å utføre alle nødvendige tiltak for å rette opp eventuelle feil.","I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
hp.portal.ach_agree_details2,"Ved å klikke på knappen nedenfor, bekrefter du at informasjonen du har gitt i denne ACH Avtalegodkjenningsavtalen for direktebetalinger er fullstendig, sann og sendt til formålet valgt ovenfor. Det vil gjelde til jeg (vi) varsler %{merchant_name} om at jeg (vi) ønsker å tilbakekalle denne autorisasjonen ved å kontakte %{merchant_email} eller %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above. It will remain in effect until I (we) notify %{merchant_name} that I (we) wish to revoke this authorization by contacting %{merchant_email} or %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above.  It will remain in effect until I (we) notify Chargebee that I (we) wish to revoke this authorization by contacting sam@example.com or 9898982345."
hp.bank_account.desc,Bankkonto,Bank Account,Bank Account label
hp.portal.date,Dato,Date,Date
hp.gocardless.redirect,Viderekobler til autogiro-leverandør ...,Redirecting to Direct Debit Provider...,Redirecting to Direct Debit Provider... - info
hp.billing_period.year, %{period} år,%{period} Years,2 Months
hp.copied,Kopiert,Copied,Copied URL
hp.error.undetermined_vat_number,Kunne ikke validere mva-nummer ettersom VIES-tjenesten ikke er tilgjengelig.,Could not validate VAT number as VIES service is unavailable.,Could not validate VAT number as VIES service is unavailable.
apple_pay.label.charges,LADER,CHARGES,Label for main line item amount
payment_method.info.amazon_payments,Amazon Payments-konto,Amazon Payments account,Amazon Payments account
hp.clientjs.invalid_coupon_code,Ugyldig kupongkode,Invalid coupon code,Invalid coupon code
hp.error.undetermined_abn_number,Kan ikke behandle ABN ettersom ABN Lookup-serveren er nede.,Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
hp.portal.ach_agreement,ACH autorisasjonsavtale,ACH Authorization Agreement,ACH Authorization Agreement - Agreement label
hp.error.invalid_vat_number,Ugyldig momsnummer,Invalid VAT Number,Invalid VAT Number
hp.portal.account,Regnskap,Account,Account user account label
hp.portal.manage,Få til,Manage,Portal account Manage label
hp.error.invalid_abn_number,Ugyldig ABN,Invalid ABN ,Invalid ABN
hp.billing_period.month, %{period} måneder,%{period} Months,2 Months
action_error.get,Det oppstod feil under behandlingen av forespørselen din,There were errors while processing your request,There were errors while processing your request
apple_pay.label.discount,RABATTER,DISCOUNTS,Label for discount amount
hp.update_payment_method.details,Oppdaterer betalingsmåteopplysningene ...,Updating the payment method details...,Updating the payment method details...
payment_method.info.direct_debit_no_bank_name,bankkontonummer som slutter med %{last4_digits},bank account number ending with %{last4_digits},
hp.paypal.desc,"Den sikrere, enklere måten å betale på","The safer, easier way to pay","The safer, easier way to pay - one liner for paypal gateway payments"
hp.copy,Kopiere,Copy,Copy URL
hp.portal.bank_account,bankkonto,bank account,bank account label
