key,value,reference value,description
not_supported_for_moving_out_resource,"Deja, ši operacija dabar negalima. Po kurio laiko bandykite dar kartą arba susisiekite su mumis dėl pagalbos.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Nepavyko prisijungti dėl neteisingų prisijungimo duomenų.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Nepavyko patvirtinti „Recaptcha“. Bandyk iš naujo,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Jūsų slaptažodis turi būti sudarytas iš mažiausiai 8 simbolių,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,"Oi! Panašu, kad šio URL galiojimo laikas baigėsi arba jis netinkamas.",Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Klientų portalo prieiga išjungta.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Oi! Grąžinimo arba atšaukimo URL neteisingas.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Kliento portalo prieiga per API yra išjungta.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Patvirtinkite el. Pašto adresą. Šis prisiregistravimas veikia tik tuo atveju, jei jau esate šios paslaugos „abonentas“.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Naujas slaptažodis neturėtų būti dabartinis,New password should not be the current password,New password should not be the current password
subscription_canceled ,"Tai atšaukta prenumerata. Norėdami gauti daugiau informacijos, susisiekite su mumis.",This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Pagal šią užklausą negalima aktyvinti portalo sesijos.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Jūsų slaptažodis turi turėti bent vieną didžiųjų, mažųjų ir skaičių","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,"Jūs dar nesukūrėte savo klientų portalo paskyros. Norėdami pradėti, naudokite parinktį „Prisiregistruoti“.",You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Nepavyko prisijungti dėl neteisingų prisijungimo duomenų.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,"Nepatvirtinote savo el. Pašto adreso. Norėdami pradėti, naudokite parinktį „Prisiregistruoti“.",You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Neteisingas vienkartinis slaptažodis,Invalid one time password,Invalid one time password
account_locked_error,Jūsų paskyra buvo užrakinta dėl saugumo priežasčių.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Portalo prieigos rakto galiojimo laikas yra pasibaigęs arba jis netinkamas.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,El. Pašto adreso atnaujinti neleidžiama.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
