key,value,reference value,description
not_supported_for_moving_out_resource,"Przepraszamy, ta operacja nie jest teraz możliwa. Spróbuj ponownie za jakiś czas lub skontaktuj się z nami w celu uzyskania pomocy.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Logowanie nie powiodło się z powodu nieprawidłowych danych logowania.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Weryfikacja Recaptcha nie powiodła się. Spróbuj ponownie,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Twoje hasło musi mieć co najmniej 8 znaków,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,"Ups! Wygląda na to, że ten adres URL wygasł lub jest nieprawidłowy.",Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Dostęp do portalu klienta jest wyłączony.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Ups! Adres URL zwrotu lub anulowania jest nieprawidłowy.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Dostęp do portalu klienta za pośrednictwem interfejsu API jest wyłączony.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Sprawdź identyfikator e-mail. Ta rejestracja działa tylko wtedy, gdy jesteś już „subskrybentem” tej usługi.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Nowe hasło nie powinno być bieżącym hasłem,New password should not be the current password,New password should not be the current password
subscription_canceled ,"To jest anulowana subskrypcja. Skontaktuj się z nami, aby uzyskać więcej informacji.",This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Aktywacja sesji portalu nie jest obsługiwana w przypadku tego żądania.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Twoje hasło musi zawierać co najmniej jedną wielką literę, małą literę i cyfrę","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,"Nie masz jeszcze skonfigurowanego konta w portalu klienta. Aby rozpocząć, użyj opcji „Zarejestruj się”.",You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Logowanie nie powiodło się z powodu nieprawidłowych danych logowania.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,"Nie zweryfikowałeś swojego adresu e-mail. Aby rozpocząć, użyj opcji „Zarejestruj się”.",You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Nieprawidłowe hasło jednorazowe,Invalid one time password,Invalid one time password
account_locked_error,Twoje konto zostało zablokowane ze względów bezpieczeństwa.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Token portalu stracił ważność lub jest nieprawidłowy.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,Adres e-mail nie może być aktualizowany.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
