key,value,reference value,description
card_orders.order.id,Rendelés azonosító,Order ID,
button.update_payment_method,Frissítse a fizetési módot,Update Payment Method,
button.extend_subscription,Az előfizetés meghosszabbítása,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,szállítási cím,Shipping Address,
button.retarget_hp_url,Töltse ki a vásárlást,Complete Your Purchase,
button.reset_password,Jelszó visszaállítása,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Jelenlegi ciklus,Current Cycle,
button.portal_verify_email,e-mail cím hitelesítése,Verify Email Address,
card_invoices.title,Az Ön számlái,Your Invoices,
card_addresses.billing_address.full_billing_address,számlázási cím,Billing Address,
button.pay_now,Fizess most,Pay Now,
button.claim_gift,Igénylés ajándék,Claim Gift,
card_orders.order.shipment_carrier,Szállítmányozó,Shipment carrier,
button.click_here,Kattints ide,Click Here,
card_contract_terms.contract_term.billing_cycle,Összes számlázási ciklus,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Kiválasztott fizetési mód,Selected payment method,
card_orders.order.batch_id,Kötegazonosító,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,További részletek,Additional details,
card_recurring_items.title,Előfizetésed,Your Subscription,
card_contract_terms.contract_term.termination_fee,Felmondási díj,Termination fee,
card_customer.title,Az adataid,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,szállítási cím,Shipping Address,
card_gift_message.title,Itt egy személyes üzenet az Ön számára,Here's a personal message for you,
card_orders.order.amount,Rendelési mennyiség,Order Amount,
card_orders.order.shipping_date,Szállítás dátuma,Shipment date,
card_hp_order_items.title,Az Ön megrendelésében szereplő elemek:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,A Term-Endnél,At Term-End,
card_orders.order.tracking_id,Követési Azonosító,Tracking id,
card_recurring_items.subscription.po_number,PO szám,PO Number,
card_orders.order.note,jegyzet,Note,
card_contract_terms.title,A szerződés részletei,Contract details,
card_contract_terms.contract_term.total_contract_value,A szerződés teljes értéke,Total Contract Value,
card_contract_terms.contract_term.contract_period,Szerződés időtartama,Contract Period,
card_orders.title,A rendelését,Your order,
card_customer.customer.id,ID,ID,
