key,value,reference value,description
invoice.label.invoice_date,Datum faktury,Invoice Date,invoice date label
invoice.payment_succeeded, %{inv_amount} bylo vyplaceno dne %{inv_date},%{inv_amount} was paid on %{inv_date},The date at which the invoice was paid
invoice.label.payment_status.initiated,Platba zahájena,Payment Initiated,Payment initiated for an invoice text
invoice.branding.test_label,Toto je vzorová faktura vygenerovaná společností Chargebee,This is a sample invoice generated by Chargebee,Logo in an invoice
invoice.label.invoice_amount,Částka faktury,Invoice Amount,Invoice amount label
invoice.branding.cb_name,Chargebee,Chargebee,Compay name
invoice.label.payment_terms,Platební podmínky,Payment Terms,Net D payment terms label shown in invoice
invoice.label.tax.vat,VAT,VAT,VAT -  is the tax description
invoice.label.id,ID,ID,Subscription id label
invoice.label.include,Zahrnuto,Includes,includes
invoice.header.label.unit_price,Jednotková cena,Unit Price,Unit price is the heading under which the cost per unit of the product comes
invoice.label.tax.exclusive_of_vat,Výhradní DPH,excl. VAT,VAT Exclusive - exclusive of taxes
invoice.payment_inprogress, %{inv_amount} platba byla zahájena dne %{inv_date},%{inv_amount} payment was initiated on %{inv_date},indicates that the payment was initiated along with the date
invoice.payment_terms.net_prefix,Čisté %{days},Net %{days},"To indicate the patment term prefix. Ex, Net 15, Net 30"
invoice.label.notes,Poznámky,Notes,Any invoice notes that need to be displayed
invoice.customer_email.request_card,Aktualizujte podrobnosti platební metody,Update your payment method details,Email subject that prompts the customer to enter the payment method details
invoice.label.invoice,Faktura,Invoice,Invoice number label
invoice.title.subscription,Předplatné,Subscription,Subscription sub heading
invoice.title.billed_to,Účtováno,Billed To,Billed to label - Under this comes the billing address of the customer
invoice.label.amount_due,Splatná částka,Amount Due,Amount that needs to be paid
invoice.label.payments,Platby,Payments,Payments made
invoice.label.cust_id,zákaznické identifikační číslo,Customer ID,Customer id label
tax.rate.description,%{tax_name} @ %{rate},%{tax_name} @ %{rate},GST @ 5%
invoice.header.label.units,Jednotky,Units,Heading under which the number of units of the product purchased comes
invoice.payment_terms.due_upon_receipt,Splatné po přijetí,Due Upon Receipt,To indicate the Zero net terms 
invoice.header.label.amount,Množství,Amount,The amount that needs to be paid
invoice.label.tax.inclusive_of_vat,včetně DPH,incl. VAT,VAT Inclusive -  inclusive of all taxes
invoice.header.label.description,Popis,Description,Table heading under which the product description comes
invoice.label.due_date,Datum splatnosti,Due Date,Invoice Due date label
invoice.label.adjustments,Úpravy,Adjustments,The adjustments made to the invoice 
invoice.label.sub_total,Mezisoučet,Sub Total,Sub total
invoice.sub.billing_period,%{from_date} - %{to_date},%{from_date} to %{to_date},3rd sept to 22 Oct
invoice.label.tax_details,Daňové údaje,Tax Details,tax details label
invoice.label.credits,Úvěry,Credits,The store credits used in the invoice
invoice.label.next_billing_date,Datum další fakturace,Next Billing Date,Next billing date label
invoice.label.tax.tax,Daň,Tax,tax
invoice.label.billing_period,Fakturační období,Billing Period,Billing period label
invoice.inclusive_tax_single_with_tax_in_loc_currency.desc,Inkluzivní %{tax_description} %{total_amount} ( %{tax_in_loc_currency}),Inclusive of %{tax_description} %{total_amount}(%{tax_in_loc_currency}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.vat_exemption_note,Poznámka k osvobození od DPH,VAT Exemption Note,"A label below which is a note, that describes why VAT has been excempted for the customer"
invoice.label.cust,Zákazník,Customer,Customer label
invoice.label.cust_vat,VAT,VAT,VAT number label
invoice.title.shipped_to,Odesláno do,Shipped To,Shipped to label - Under this comes the shipping address of the customer
invoice.inclusive_tax_multi.desc,Zahrnutí daní ( %{total_amount}),Inclusive of taxes (%{total_amount}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.label.vat_details,Detaily o DPH,Vat Details,VAT details label which is shown in vat incl invoices
invoice.label.total,Celkový,Total,Total
invoice.label.po_number,PO,PO,Purchase order number label
invoice.header.label.discounts,Sleva,Discount,Discount label
invoice.label.tax.exclusive,Výhradní,Excl. ,Exclusive - exclusive of taxes
invoice.inclusive_tax_multi_with_tax_in_loc_currency.desc,Zahrnuje daně %{total_amount} ( %{tax_in_loc_currency}),Inclusive of taxes %{total_amount}(%{tax_in_loc_currency}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.branding.powered_by,Poháněno,Powered by,Logo in an invoice - Powered by Chargebee
invoice.inclusive_tax_single.desc,Inkluzivní %{tax_description} ( %{total_amount}),Inclusive of %{tax_description} (%{total_amount}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.round_off,Zaokrouhlit,Round Off,Round off - invoice amount is rounded off to a whole number
invoice.header.label.sub_total,Mezisoučet,Sub Total,Sub total
invoice.label.transfer_details,Podrobnosti přenosu,Transfer Details,Transfer Details label
invoice.label.tax.inclusive,Inkluzivní,Incl. ,Inclusive -  inclusive of all taxes
invoice.header.label.price,Cena,Price,Price is the heading under which the cost of the product comes
