key,value,reference value,description
not_supported_for_moving_out_resource,"Üzgünüz, bu işlem şu anda mümkün değil. Lütfen bir süre sonra tekrar deneyin veya yardım için bizimle iletişime geçin.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Yanlış kimlik bilgileri nedeniyle giriş başarısız oldu.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Recaptcha doğrulaması başarısız oldu. Tekrar deneyin,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Şifreniz en az 8 karakter içermelidir,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,Oops! Görünüşe göre bu URL'nin süresi dolmuş veya geçersiz.,Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Müşteri portalı erişimi devre dışı bırakıldı.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Oops! İade veya iptal URL'si geçersiz.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,API aracılığıyla müşteri portalı erişimi devre dışı bırakıldı.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Lütfen e-posta kimliğini doğrulayın. Bu kayıt, yalnızca bu hizmetin zaten bir ""Abonesi"" iseniz çalışır.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Yeni şifre mevcut şifre olmamalıdır,New password should not be the current password,New password should not be the current password
subscription_canceled ,Bu iptal edilmiş bir aboneliktir. Daha fazla ayrıntı için lütfen bizimle iletişime geçin.,This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Bu istek için bir portal oturumunun etkinleştirilmesi desteklenmez.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Şifreniz en az bir büyük harf, küçük harf ve bir sayı içermelidir","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,"Henüz müşteri portalı hesabınızı kurmadınız. Başlamak için ""Kaydol"" seçeneğini kullanın.",You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Yanlış kimlik bilgileri nedeniyle giriş başarısız oldu.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,"E-postanızı doğrulamadınız. Başlamak için ""Kaydol"" seçeneğini kullanın.",You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Bir kerelik geçersiz şifre,Invalid one time password,Invalid one time password
account_locked_error,Hesabınız güvenlik nedeniyle kilitlendi.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Portal anahtarının süresi dolmuş veya geçersiz.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,E-posta adresinin güncellenmesine izin verilmiyor.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
