key,value,reference value,description
enum.contract_term_base.action_at_term_end.name.renew,续约,Renews for another term,"<li>Contract term completes and a new contract term is started for the number of billing cycles specified in <a href=""subscriptions#create_subscription_for_customer_contract_term_billing_cycle_on_renewal""><code>contract_billing_cycle_on_renewal</code></a>.</li><li>The <code>action_at_term_end</code> for the new contract term is set to <code>renew</code>."
enum.plan_base.period_unit.name.year,年,Year,Charge based on year(s)
enum.credit_note_base.reason_code.name.chargeback,退款,Chargeback,Can be set when you are recording your customer Chargebacks
enum.contract_term_base.action_at_term_end.name.cancel,合同结束,Contract ends,Contract term completes and subscription is canceled.
enum.public_card_error_code.name.paypal_general_err,访问您的贝宝帐户时，我们遇到了问题。,We've encountered a problem while accessing your paypal account.,We've encountered a problem while accessing your paypal account.
enum.invoice_base.status.name.posted,发表于,Posted,Indicates the payment is not yet collected and will be in this state till the due date to indicate the due period
enum.line_item_base.type.name.account_credits,帐户积分,Account Credits,Account Credits
enum.payment_method_base.type.name.paypal_express_checkout,Paypal Express结帐,Paypal Express Checkout,Payments made via PayPal Express Checkout.
enum.payment_method_base.type.name.e_2checkout,2Checkout,2Checkout,2Checkout
enum.payment_method_base.type.name.bancontact,Bancontact,Bancontact,Bancontact Card Payments.
enum.invoice_base.status.name.pending,待办的,Pending,"<ul><li><strong><a href=""/docs/api/invoices?prod_cat_ver=2#invoice_status"">Product Catalog 2.0:</a></strong> The invoice is
    yet to be closed (sent for payment collection). An invoice is generated with this <code>status</code> when it has line items that
    belong to items that are <code>metered</code> or when the <code>subscription.create_pending_invoices</code>
    attribute is set to <code>true</code>.<br> <strong><a href=""/docs/api/invoices?prod_cat_ver=1#invoice_status""
</li>                                                          <li>Product Catalog 1.0:</a></strong> The invoice is yet to be
    closed (sent for payment collection). All invoices are generated with this <code>status</code> when <a
            href=""https://www.chargebee.com/docs/metered_billing.html"" target=""_blank"" rel=""noreferrer noopener"">Metered
        Billing</a> is enabled for the site.</li></ul>"
enum.line_item_base.type.name.coupon_credit,优待券抵免额,Coupon Credit,Coupon Credit
