key,value,reference value,description
hp.portal.mark.backup,Označiť ako zálohu,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} týždňov,%{period} Weeks,2 Weeks
hp.portal.powered_by,Poháňaný,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,nemôže byť prázdne,cannot be blank,cannot be blank
action_error.post,Pri odosielaní sa vyskytli chyby,There were errors while submitting,There were errors while submitting
hp.change_link,Zmena,Change,Change link
hp.portal.signed_up,Zaregistrovaný %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Zobrazujem,Showing,Showing invoice label
payment_method.info.card,karta končiaca %{last4_digits},card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, číslo účtu končiace na %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Chargebee bezpečná platba,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Zálohovanie,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Nastaviť inkaso,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Označiť ako primárne,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card, %{card_type} karta,%{card_type} card,Visa Card
hp.apple_card_ending,Koniec karty ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,úspešne ste aktualizovali podrobnosti svojej karty.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Plaťte bezpečne pomocou informácií vo vašom účte Amazon.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Odstrániť zálohu,Remove Backup,Unmarking a payment method as Backup
hp.card_ending, %{card_type} karta končí ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,úspešne ste sa zaregistrovali do služby,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,DANE (EŠTE JE VÝPOČET),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Prebieha presmerovanie na PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,pre %{no_of_terms} podmienok,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Pri odosielaní sa vyskytli chyby,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Problém so spracovaním formulára. Overte podrobnosti formulára.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Primárny,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,Účet PayPal Express Checkout,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,Ja (My) týmto oprávňujem a požadujem %{merchant_name} na odpísanie prostriedkov z môjho (nášho) účtu v uvedenej finančnej inštitúcii a pripísanie prostriedkov v prospech týchto prostriedkov. Ja (my) oprávňujeme %{merchant_name} na prijatie akýchkoľvek krokov potrebných na opravu akýchkoľvek chýb.,"I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
