key,value,reference value,description
sub_details_card.metered_item.footnote,ปริมาณอาจแตกต่างกันไปตามการใช้งานในช่วงเวลาที่เรียกเก็บเงิน,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,คุณได้รับอีเมลฉบับนี้เนื่องจากคุณชำระเงินสำหรับการสมัครและค่าใช้จ่ายของลูกค้ารายนี้,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,ลิงก์นี้จะหมดอายุใน 7 วัน,This link will expire in 7 days.,
sub_details_card.metered_item.units,หน่วย,Units,
card_offline_pm.instruction.text,โปรดตรวจสอบให้แน่ใจว่าคุณพร้อมจำนวนเงินที่แน่นอนเมื่อมาถึงตัวแทนบริการของเรา,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,สามารถดาวน์โหลดและดูรายละเอียดได้ที่นี่ ลิงก์นี้จะหมดอายุใน 7 วัน,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,คุณได้รับอีเมลฉบับนี้เนื่องจากคุณเป็นผู้ปกครองของลูกค้ารายนี้,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,ใบแจ้งหนี้นี้ชำระโดยบัญชีหลักของคุณ,This invoice was paid by your parent account,
download_attachments_note.link_text,ดาวน์โหลด,Download,
invoice_details_card.download_link.text,ดาวน์โหลดและดูใบแจ้งหนี้ทั้งหมดอย่างน้อยหนึ่งใบ,Download and view all invoices,
