key,value,reference value,description
not_supported_for_moving_out_resource,"Ne pare rău, această operațiune nu este posibilă acum. Încercați din nou după ceva timp sau contactați-ne pentru asistență.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Conectarea a eșuat din cauza acreditării incorecte.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Verificarea Recaptcha a eșuat. Încearcă din nou,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Parola dvs. trebuie să aibă cel puțin 8 caractere,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,Hopa! Această adresă URL pare să fie expirată sau invalidă.,Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Accesul la portalul clienților este dezactivat.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Hopa! Adresa URL de returnare sau de anulare nu este validă.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Accesul la portalul clienților prin API este dezactivat.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,Vă rugăm să verificați ID-ul de e-mail. Această înscriere funcționează numai dacă sunteți deja „Abonat” al acestui serviciu.,"Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Parola nouă nu ar trebui să fie parola curentă,New password should not be the current password,New password should not be the current password
subscription_canceled ,Acesta este un abonament anulat. Vă rugăm să ne contactați pentru mai multe detalii.,This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Activarea unei sesiuni de portal nu este acceptată pentru această solicitare.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Parola dvs. trebuie să aibă cel puțin un caracter cu majuscule, minuscule și un număr","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,Nu ați configurat încă contul de portal al clienților. Utilizați opțiunea „Înscrieți-vă” pentru a începe.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Conectarea a eșuat din cauza acreditării incorecte.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,Nu v-ați confirmat adresa de e-mail. Utilizați opțiunea „Înscrieți-vă” pentru a începe.,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Parolă unică nevalidă,Invalid one time password,Invalid one time password
account_locked_error,Contul dvs. a fost blocat din motive de securitate.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Jetonul portalului a fost expirat sau invalid.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,Adresa de e-mail nu poate fi actualizată.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
