key,value,reference value,description
not_supported_for_moving_out_resource,"Извините, эта операция сейчас невозможна. Повторите попытку через некоторое время или свяжитесь с нами для получения помощи.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Не удалось войти в систему из-за неверных учетных данных.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Ошибка проверки рекапчи. Попробуй снова,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Ваш пароль должен состоять не менее чем из 8 символов.,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,"Ой! Этот URL-адрес либо устарел, либо недействителен.",Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Доступ к клиентскому порталу отключен.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Ой! URL возврата или отмены недействителен.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Доступ к клиентскому порталу через API отключен.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Пожалуйста, проверьте идентификатор электронной почты. Эта регистрация работает только в том случае, если вы уже являетесь «подписчиком» этой услуги.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Новый пароль не должен быть текущим паролем,New password should not be the current password,New password should not be the current password
subscription_canceled ,"Это аннулированная подписка. Пожалуйста, свяжитесь с нами, для более подробной информации.",This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Активация сеанса портала для этого запроса не поддерживается.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Ваш пароль должен содержать как минимум один символ верхнего регистра, символ нижнего регистра и цифру.","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,"Вы еще не настроили свою учетную запись на портале клиентов. Используйте опцию «Зарегистрироваться», чтобы начать.",You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Не удалось войти в систему из-за неверных учетных данных.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,"Вы не подтвердили свой адрес электронной почты. Используйте опцию «Зарегистрироваться», чтобы начать.",You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Недействительный одноразовый пароль,Invalid one time password,Invalid one time password
account_locked_error,Ваша учетная запись заблокирована по соображениям безопасности.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Срок действия токена портала истек или он недействителен.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,Электронный адрес не может быть обновлен.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
