key,value,reference value,description
sub_details_card.metered_item.footnote,数量可能会根据结算期内的使用情况而有所不同。,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,您收到此电子邮件是因为您要为此客户的订阅和费用付费,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,该链接将在7天内失效。,This link will expire in 7 days.,
sub_details_card.metered_item.units,单位,Units,
card_offline_pm.instruction.text,请确保在我们的服务代理到达时准备好确切的金额。,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,您可以在此处下载和查看详细信息。该链接将在7天内失效。,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,您正在接收此电子邮件，因为您是该客户的父母。,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,该发票由您的上级帐户支付,This invoice was paid by your parent account,
download_attachments_note.link_text,下载,Download,
invoice_details_card.download_link.text,下载并查看所有一张或多张发票,Download and view all invoices,
