key,value,reference value,description
quote.label.quote_amount,จำนวนใบเสนอราคา,Quote Amount,Quote amount label
quote.label.recurring_charges,การเรียกเก็บเงินที่เกิดขึ้นประจำ,Recurring charges,Recurring charges
quote.label.tax.inclusive,รวม,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,ราคาต่อหน่วย,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,การสมัครสมาชิก,Subscription,Subscription sub heading
quote.label.billing_cycle,รอบการเรียกเก็บเงิน,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,ไม่มีรอบบิล,No of billing cycles,No of billing cycles
quote.term.month,เดือน,month,month
quote.header.label.sub_total,ผลรวมย่อย,Sub Total,Sub total
quote.term.months,เดือน,months,months
quote.label.quote_date,วันที่เสนอราคา,Quote Date,quote date label
quote.label.chargeable_on_trial_start,คิดค่าบริการเมื่อเริ่มทดลองใช้,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,รายละเอียดภาษีมูลค่าเพิ่ม,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,ปี,year,year
quote.title.subscription_detail,รายละเอียดการสมัครสมาชิก,Subscription Details,Subscription Detail section heading
quote.label.include,รวม,Includes ,includes
quote.customer_email.request_card,อัปเดตรายละเอียดวิธีการชำระเงินของคุณ,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,รวมส่วนลดและภาษี,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,ส่งไปที่,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,ราคา,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,ค่าใช้จ่ายในการยอมรับ,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,คิดค่าบริการเมื่อเปิดใช้งานตามแผน,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,เริ่มการชำระเงินแล้ว,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,ใบแจ้งหนี้ Proforma,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,วันที่ใบแจ้งหนี้ Proforma,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,การปรับเปลี่ยน,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,รอบบิลที่ 12,12th billing cycle,12th billing cycle
quote.billing_cycle.11,รอบบิลที่ 11,11th billing cycle,11th billing cycle
