key,value,reference value,description
portal.action.success.not_signed_up,Jeszcze się nie zarejestrowałeś. Wysłaliśmy link do rejestracji na Twój adres e-mail.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Odznaczono %{payment_method} jako zastępczą formę płatności.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Skonfigurowałeś już swoje konto w portalu klienta przy użyciu tego adresu e-mail. Zaloguj się tutaj.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated,Zaktualizowano szczegóły %{payment_method}.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Przekroczyłeś maksymalną liczbę prób weryfikacji tego konta bankowego,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,"Nie zweryfikowałeś swojego adresu e-mail. Na Twoje konto został wysłany kolejny e-mail weryfikacyjny. Aby się zalogować, musisz zweryfikować swój identyfikator e-mail.",You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Otrzymasz instrukcje resetowania hasła, jeśli subskrybujesz przy użyciu tego identyfikatora e-mail.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,"Wydaje się, że adres URL wygasł lub jest nieprawidłowy. Podaj swój adres e-mail, aby poprosić o kolejny link.",The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Nie ukończyłeś jeszcze rejestracji. Ponownie wysłaliśmy link rejestracyjny na Twój e-mail.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Twoje hasło zostało zmienione.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} została dodana jako forma płatności,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Twoje konto zostało pomyślnie zweryfikowane. Zaloguj się tutaj.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Pomyślnie zaktualizowano szczegóły adresu wysyłki.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Pomyślnie zaktualizowano szczegóły adresu rozliczeniowego.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,"Pomyślnie anulowałem subskrypcję, a Twoja karta kredytowa została usunięta.",Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Twoja subskrypcja została pomyślnie anulowana.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} usunięto.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Masz już skonfigurowany portal klienta. E-mail weryfikacyjny został wysłany. Sprawdź swój adres e-mail i spróbuj się zalogować.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} oznaczono jako podstawową formę płatności.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Pomyślnie zaktualizowano Twoją subskrypcję.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Pomyślnie zaktualizowano szczegóły Twojego konta.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Twoje hasło wygasło. Zmień to tutaj.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Sukces: Twoje hasło zostało zresetowane! Zaloguj się tutaj.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,"Wysłaliśmy wiadomość e-mail z instrukcjami, jak dokończyć rejestrację.",We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} oznaczono jako Zastępcza metoda płatności.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Konto bankowe zostało pomyślnie zweryfikowane.,The bank account is successfully verified.,The bank account is successfully verified.
