key,value,reference value,description
invoice.label.invoice_date,송장 날짜,Invoice Date,invoice date label
invoice.payment_succeeded, %{inv_amount}이 %{inv_date}에 지급되었습니다.,%{inv_amount} was paid on %{inv_date},The date at which the invoice was paid
invoice.label.payment_status.initiated,결제 시작,Payment Initiated,Payment initiated for an invoice text
invoice.branding.test_label,Chargebee에서 생성 한 샘플 송장입니다.,This is a sample invoice generated by Chargebee,Logo in an invoice
invoice.label.invoice_amount,송장 금액,Invoice Amount,Invoice amount label
invoice.branding.cb_name,차지 비,Chargebee,Compay name
invoice.label.payment_terms,지불 조건,Payment Terms,Net D payment terms label shown in invoice
invoice.label.tax.vat,VAT,VAT,VAT -  is the tax description
invoice.label.id,ID,ID,Subscription id label
invoice.label.include,Inclusivedes,Includes,includes
invoice.header.label.unit_price,단가,Unit Price,Unit price is the heading under which the cost per unit of the product comes
invoice.label.tax.exclusive_of_vat,VAT 독점,excl. VAT,VAT Exclusive - exclusive of taxes
invoice.payment_inprogress, %{inv_date}에 %{inv_amount} 결제가 시작되었습니다.,%{inv_amount} payment was initiated on %{inv_date},indicates that the payment was initiated along with the date
invoice.payment_terms.net_prefix,순 %{days},Net %{days},"To indicate the patment term prefix. Ex, Net 15, Net 30"
invoice.label.notes,메모,Notes,Any invoice notes that need to be displayed
invoice.customer_email.request_card,결제 방법 세부 정보 업데이트,Update your payment method details,Email subject that prompts the customer to enter the payment method details
invoice.label.invoice,송장,Invoice,Invoice number label
invoice.title.subscription,신청,Subscription,Subscription sub heading
invoice.title.billed_to,청구 대상,Billed To,Billed to label - Under this comes the billing address of the customer
invoice.label.amount_due,지불액,Amount Due,Amount that needs to be paid
invoice.label.payments,지불,Payments,Payments made
invoice.label.cust_id,고객 ID,Customer ID,Customer id label
tax.rate.description,%{tax_name} @ %{rate},%{tax_name} @ %{rate},GST @ 5%
invoice.header.label.units,단위,Units,Heading under which the number of units of the product purchased comes
invoice.payment_terms.due_upon_receipt,수령시 기한,Due Upon Receipt,To indicate the Zero net terms 
invoice.header.label.amount,양,Amount,The amount that needs to be paid
invoice.label.tax.inclusive_of_vat,VAT 포함,incl. VAT,VAT Inclusive -  inclusive of all taxes
invoice.header.label.description,기술,Description,Table heading under which the product description comes
invoice.label.due_date,마감일,Due Date,Invoice Due date label
invoice.label.adjustments,조정,Adjustments,The adjustments made to the invoice 
invoice.label.sub_total,소계,Sub Total,Sub total
invoice.sub.billing_period,%{from_date} - %{to_date},%{from_date} to %{to_date},3rd sept to 22 Oct
invoice.label.tax_details,세금 정보,Tax Details,tax details label
invoice.label.credits,크레딧,Credits,The store credits used in the invoice
invoice.label.next_billing_date,다음 청구일,Next Billing Date,Next billing date label
invoice.label.tax.tax,세,Tax,tax
invoice.label.billing_period,청구 기간,Billing Period,Billing period label
invoice.inclusive_tax_single_with_tax_in_loc_currency.desc, %{tax_description} %{total_amount} ( %{tax_in_loc_currency}) 포함,Inclusive of %{tax_description} %{total_amount}(%{tax_in_loc_currency}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.vat_exemption_note,VAT 면제 참고,VAT Exemption Note,"A label below which is a note, that describes why VAT has been excempted for the customer"
invoice.label.cust,고객,Customer,Customer label
invoice.label.cust_vat,VAT,VAT,VAT number label
invoice.title.shipped_to,배송지,Shipped To,Shipped to label - Under this comes the shipping address of the customer
invoice.inclusive_tax_multi.desc,세금 포함 ( %{total_amount}),Inclusive of taxes (%{total_amount}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.label.vat_details,부가가치세 세부 사항,Vat Details,VAT details label which is shown in vat incl invoices
invoice.label.total,합계,Total,Total
invoice.label.po_number,PO,PO,Purchase order number label
invoice.header.label.discounts,할인,Discount,Discount label
invoice.label.tax.exclusive,독특한,Excl. ,Exclusive - exclusive of taxes
invoice.inclusive_tax_multi_with_tax_in_loc_currency.desc,세금 포함 %{total_amount} ( %{tax_in_loc_currency}),Inclusive of taxes %{total_amount}(%{tax_in_loc_currency}),The amount paid will be inclusive of the taxes -Inclusive of taxes (20)
invoice.branding.powered_by,제공,Powered by,Logo in an invoice - Powered by Chargebee
invoice.inclusive_tax_single.desc, %{tax_description} 포함 ( %{total_amount}),Inclusive of %{tax_description} (%{total_amount}),For the case when one particular tax is inclusive - inclusive of vat (30)
invoice.label.round_off,완전하게하다,Round Off,Round off - invoice amount is rounded off to a whole number
invoice.header.label.sub_total,소계,Sub Total,Sub total
invoice.label.transfer_details,전송 세부 정보,Transfer Details,Transfer Details label
invoice.label.tax.inclusive,포함한,Incl. ,Inclusive -  inclusive of all taxes
invoice.header.label.price,가격,Price,Price is the heading under which the cost of the product comes
