key,value,reference value,description
error.column.base_money.numeric,nên là một số,should be a number,
error.invalid_expiry_info,thông tin hết hạn không hợp lệ,invalid expiry info,
error.column.number.allow_negative,không nên tiêu cực,should not be negative,
error.column.email.main, phải là một email hợp lệ, should be a valid email,
error.column.number.range.min_max,phải nằm trong phạm vi %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,không được vượt quá %{max},should not exceed %{max},
error.column.number.range.max,không được vượt quá %{max},should not exceed %{max},
error.column.string.length.min, ít nhất phải có %{min} ký tự, should have atleast %{min} characters,
error.atleast_today,Nên ít nhất hôm nay,Should be atleast today,
error.column.base_money.range.min,ít nhất phải là %{min},should be atleast %{min},
error.invalid_cvv,CVV không hợp lệ,invalid CVV,
error.column.base_money.main, định dạng tiền tệ không hợp lệ, invalid currency format,
error.column.number.range.min,ít nhất phải là %{min},should be atleast %{min},
error.column.string.length.max, không được có nhiều hơn %{max} ký tự, should not have more than %{max} characters,
error.presence,không thể chừa trống,cannot be blank,
error.wrong_format,Phải ở định dạng %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, phải có %{min} ký tự, should be of %{min} characters,
error.date_format,định dạng ngày tháng hợp lệ,invalid date format,
error.column.string.length.min_max, phải có từ %{min} đến %{max} ký tự, should be between %{min} and %{max} characters,
error.column.color.main,mã màu hex không hợp lệ,invalid hex color code,
error.password.format,"Mật khẩu của bạn phải dài ít nhất 8 ký tự và chứa một số nguyên, một bảng chữ cái và một ký tự đặc biệt","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,giá trị thập phân không được phép,decimal values are not allowed,
error.column.data.format_spaces, định dạng ngày tháng hợp lệ, Invalid date format,
error.card_number,số thẻ tín dụng không hợp lệ,invalid credit card number,
error.register_for_gst_should_be_enabled,Đây là điều bắt buộc,This is mandatory,
error.column.uniqueness, %{column_name} đã tồn tại,%{column_name} already exists,
error.column.base_money.range.min_max,phải nằm trong phạm vi %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,nên là một số,should be a number,
error.vat_number_cannot_be_blank,Số VAT không được để trống,VAT Number cannot be empty,
