key,value,reference value,description
card_orders.order.id,订单编号,Order ID,
button.update_payment_method,更新付款方式,Update Payment Method,
button.extend_subscription,扩展订阅,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,收件地址,Shipping Address,
button.retarget_hp_url,完成购买,Complete Your Purchase,
button.reset_password,重设密码,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,当前周期,Current Cycle,
button.portal_verify_email,确认电子邮件地址,Verify Email Address,
card_invoices.title,您的发票,Your Invoices,
card_addresses.billing_address.full_billing_address,帐单地址,Billing Address,
button.pay_now,现在付款,Pay Now,
button.claim_gift,领取礼物,Claim Gift,
card_orders.order.shipment_carrier,货运承运人,Shipment carrier,
button.click_here,点击这里,Click Here,
card_contract_terms.contract_term.billing_cycle,总帐单周期,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,选择的付款方式,Selected payment method,
card_orders.order.batch_id,批次编号,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,额外细节,Additional details,
card_recurring_items.title,您的订阅,Your Subscription,
card_contract_terms.contract_term.termination_fee,终止费,Termination fee,
card_customer.title,你的资料,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,收件地址,Shipping Address,
card_gift_message.title,这是给你的个人讯息,Here's a personal message for you,
card_orders.order.amount,订单金额,Order Amount,
card_orders.order.shipping_date,发货日期,Shipment date,
card_hp_order_items.title,您所订购的商品：,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,在学期末,At Term-End,
card_orders.order.tracking_id,跟踪号码,Tracking id,
card_recurring_items.subscription.po_number,订单号,PO Number,
card_orders.order.note,笔记,Note,
card_contract_terms.title,合约明细,Contract details,
card_contract_terms.contract_term.total_contract_value,合同总价值,Total Contract Value,
card_contract_terms.contract_term.contract_period,合同期,Contract Period,
card_orders.title,你的订单,Your order,
card_customer.customer.id,ID,ID,
