key,value,reference value,description
invoice.transaction.credit_applied, %{amount} jóváírást alkalmaztak %{date} napon.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Ezt az összeget az adóalap alapján számítják ki, amely az Ön országában érvényes adótörvényektől függően változhat.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Érvénytelenítve: %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, kártyával., by Card.,payment with card
transaction.payment_method.via_pm, keresztül %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Kiigazítások,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} leírása %{date} napon történt.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card, %{card_type} kártya végződik: %{last4_digits}., by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated,%{amount} visszatérítést kezdeményeztek %{summa} dátummal %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"Az áfa nem vonatkozik erre a számlára, mert érvényes áfa nyilvántartási számot adtak meg, és a fordított adózási mechanizmust alkalmazták.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed,%{amount} visszatérítésre került: %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Kifizetések,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"Az áfát nem kell alkalmazni ezen a jóváírási bizonylaton, mert érvényes áfa nyilvántartási számot adtak meg, és a fordított adózási mechanizmust alkalmazták.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Offline fizetés,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, kártyára., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Felhívjuk figyelmét, hogy mivel az Egyesült Királyság már nem része az EU-nak, szolgáltatásaink nem tartoznak az Egyesült Királyság áfájának hatálya alá.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card," %{card_type} kártyára, amelynek vége: %{last4_digits}.", to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Hitelek,Credits,Credits footer title
invoice.transaction.adjustment,%{amount} korrekció történt a következő napon: %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"Az áfa nem vonatkozik erre a %{quote_title}, mert érvényes áfa-nyilvántartási számot adtak meg, és a fordított adózási mechanizmust alkalmazták.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,%{amount} visszatérítését rögzítették visszatérítésként %{date} napon,A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Ez az exportügylet mentes az áfa alól az EU héairányelvének 146. cikke szerint.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm," keresztül %{payment_method} ( %{card_type} kártya, amelynek vége %{last4_digits})", via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, %{payment_method} által., by %{payment_method}.,by payment method type
