key,value,reference value,description
sub_details_card.metered_item.footnote,Количеството може да варира в зависимост от употребата през периода на фактуриране.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,"Получавате този имейл, защото плащате абонаментите и таксите на този клиент",You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Тази връзка ще изтече след 7 дни.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Единици,Units,
card_offline_pm.instruction.text,"Моля, уверете се, че сте готови с точната сума при пристигането на нашия сервизен агент.",Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Можете да изтеглите и видите подробности тук. Тази връзка ще изтече след 7 дни.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,"Получавате този имейл, тъй като сте родител на този клиент.",You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Тази фактура е платена от вашия родителски акаунт,This invoice was paid by your parent account,
download_attachments_note.link_text,Изтегли,Download,
invoice_details_card.download_link.text,Изтеглете и прегледайте всички една или повече фактури,Download and view all invoices,
