key,value,reference value,description
card_orders.order.id,Číslo objednávky,Order ID,
button.update_payment_method,Aktualizujte spôsob platby,Update Payment Method,
button.extend_subscription,Predĺžiť predplatné,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,Dodacia adresa,Shipping Address,
button.retarget_hp_url,Dokončite nákup,Complete Your Purchase,
button.reset_password,Obnoviť heslo,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Aktuálny cyklus,Current Cycle,
button.portal_verify_email,Overte e-mailovú adresu,Verify Email Address,
card_invoices.title,Vaše faktúry,Your Invoices,
card_addresses.billing_address.full_billing_address,Fakturačná adresa,Billing Address,
button.pay_now,Zaplatiť teraz,Pay Now,
button.claim_gift,Získať darček,Claim Gift,
card_orders.order.shipment_carrier,Prepravca zásielok,Shipment carrier,
button.click_here,Kliknite tu,Click Here,
card_contract_terms.contract_term.billing_cycle,Celkový fakturačný cyklus,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Vybraný spôsob platby,Selected payment method,
card_orders.order.batch_id,ID šarže,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Ďalšie podrobnosti,Additional details,
card_recurring_items.title,Vaše predplatné,Your Subscription,
card_contract_terms.contract_term.termination_fee,Poplatok za ukončenie,Termination fee,
card_customer.title,Tvoje detaily,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,Dodacia adresa,Shipping Address,
card_gift_message.title,Toto je osobná správa pre vás,Here's a personal message for you,
card_orders.order.amount,Suma objednávky,Order Amount,
card_orders.order.shipping_date,Dátum odoslania,Shipment date,
card_hp_order_items.title,Položky v objednávke:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Na konci obdobia,At Term-End,
card_orders.order.tracking_id,ID sledovania,Tracking id,
card_recurring_items.subscription.po_number,číslo objednávky,PO Number,
card_orders.order.note,Poznámka,Note,
card_contract_terms.title,Podrobnosti zmluvy,Contract details,
card_contract_terms.contract_term.total_contract_value,Celková hodnota zmluvy,Total Contract Value,
card_contract_terms.contract_term.contract_period,Zmluvné obdobie,Contract Period,
card_orders.title,Vaša objednávka,Your order,
card_customer.customer.id,ID,ID,
