key,value,reference value,description
hp.portal.mark.backup,Позначити як резервну копію,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} тижнів,%{period} Weeks,2 Weeks
hp.portal.powered_by,Працює на,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,не може бути порожнім,cannot be blank,cannot be blank
action_error.post,Під час надсилання сталися помилки,There were errors while submitting,There were errors while submitting
hp.change_link,Зміна,Change,Change link
hp.portal.signed_up,Зареєстровано %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Показ,Showing,Showing invoice label
payment_method.info.card,"картка, що закінчується %{last4_digits}",card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, номер рахунку, що закінчується %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Безпечний платіж чергабіті,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Резервне копіювання,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Налаштуйте прямий дебет,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Позначити як основну,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card,Картка %{card_type},%{card_type} card,Visa Card
hp.apple_card_ending,Закінчення картки ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,Ви успішно оновили дані своєї картки.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,"Платіть надійно, використовуючи інформацію на вашому рахунку Amazon.",Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Видаліть резервну копію,Remove Backup,Unmarking a payment method as Backup
hp.card_ending," %{card_type} картка, що закінчується ... %{digits}",%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,Ви успішно підписалися на послугу,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,ПОДАТКИ,TAX (YET TO BE CALCULATED),Label for tax amount
