key,value,reference value,description
portal.action.success.not_signed_up,คุณยังไม่ได้สมัคร เราได้ส่งลิงก์ลงทะเบียนไปยังอีเมลของคุณแล้ว,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,ไม่ได้ทำเครื่องหมาย %{payment_method} เป็นวิธีการชำระเงินสำรอง,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,คุณได้ตั้งค่าบัญชีพอร์ทัลของลูกค้าโดยใช้ที่อยู่อีเมลนี้แล้ว กรุณาเข้าสู่ระบบที่นี่,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated,อัปเดตรายละเอียด %{payment_method} แล้ว,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,คุณพยายามยืนยันบัญชีธนาคารนี้เกินจำนวนสูงสุดแล้ว,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,คุณยังไม่ได้ยืนยันอีเมลของคุณ อีเมลยืนยันอีกฉบับถูกส่งไปยังบัญชีของคุณ คุณต้องยืนยันรหัสอีเมลของคุณเพื่อเข้าสู่ระบบ,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,คุณจะได้รับคำแนะนำในการรีเซ็ตรหัสผ่านหากคุณสมัครสมาชิกโดยใช้ ID อีเมลนี้,You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,ดูเหมือนว่า URL จะหมดอายุหรือไม่ถูกต้อง โปรดป้อนที่อยู่อีเมลของคุณเพื่อขอลิงค์ใหม่,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,คุณยังสมัครไม่เสร็จ เราได้ส่งลิงก์ลงทะเบียนไปยังอีเมลของคุณอีกครั้ง,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,เปลี่ยนรหัสผ่านของคุณสำเร็จแล้ว,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added,เพิ่ม %{payment_method} เป็นวิธีการชำระเงินแล้ว,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,คุณได้ยืนยันบัญชีของคุณเรียบร้อยแล้ว เข้าสู่ระบบที่นี่,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,อัปเดตรายละเอียดที่อยู่จัดส่งของคุณเรียบร้อยแล้ว,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,อัปเดตรายละเอียดที่อยู่สำหรับการเรียกเก็บเงินของคุณเรียบร้อยแล้ว,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,ยกเลิกการสมัครของคุณสำเร็จและนำบัตรเครดิตของคุณออก,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,ยกเลิกการสมัครของคุณสำเร็จแล้ว,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed,ลบ %{payment_method} แล้ว,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,คุณได้ตั้งค่าพอร์ทัลลูกค้าของคุณแล้ว ส่งอีเมลยืนยันแล้ว โปรดยืนยันที่อยู่อีเมลของคุณและลองเข้าสู่ระบบ,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} ทำเครื่องหมายเป็นวิธีการชำระเงินหลัก,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,อัปเดตการสมัครของคุณสำเร็จแล้ว,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,อัปเดตรายละเอียดบัญชีของคุณเรียบร้อยแล้ว,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,รหัสผ่านของคุณหมดอายุ กรุณาเปลี่ยนที่นี่,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,สำเร็จ: รีเซ็ตรหัสผ่านของคุณแล้ว! เข้าสู่ระบบที่นี่,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,เราได้ส่งอีเมลพร้อมคำแนะนำในการลงชื่อสมัครใช้ของคุณ,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} ทำเครื่องหมายเป็นวิธีการชำระเงินสำรอง,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,ตรวจสอบบัญชีธนาคารเรียบร้อยแล้ว,The bank account is successfully verified.,The bank account is successfully verified.
