key,value,reference value,description
invalid_charge_start_and_end,Érvénytelen időtartam telt el. A line_item.date_from-nak a line_item.date_to előtt kell lennie,Invalid term period passed. line_item.date_from must be before line_item.date_to,Invalid term period passed. line_item.date_from must be before line_item.date_to
xero_build_inprogress,"A Xero integráció karbantartás miatt ideiglenesen le van tiltva. Ennek néhány percen belül véget kell érnie. Kérjük, próbálkozzon valamikor.",Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.,Xero integration is temporarily disabled for maintenance. This should be over in few minutes. Please try after sometime.
invalid_invoice_amount,"A (z) {0} számla összegének nagyobbnak kell lennie, mint nulla",Invoice Amount {0} should be greater than zero,Invoice Amount {0} should be greater than zero
record_payment_not_supported,{0},{0},{0}
max_size_reached,Túllépte a visszatérítendő kártyás fizetések maximális korlátját,Exceeded maximum limit of card payments to refund,Exceeded maximum limit of card payments to refund
recurring_addon_not_supported,Az ismétlődő kiegészítés nem adható hozzá a függőben lévő számlához.,Recurring addon cannot be added to pending invoice.,Recurring addon cannot be added to pending invoice.
hp_product_type_mismatch,"Sajnos nem tudjuk feldolgozni a kérését. Kérjük, vegye fel a kapcsolatot az eladóval / kereskedővel.","Sorry, we are unable process your request. Please get in touch with the seller/merchant.","Sorry, we are unable process your request. Please get in touch with the seller/merchant."
invalid_payment_amount,{0},{0},{0}
refund_amount_too_big,A megadott összeg meghaladja a megengedett korlátot ({0}),Specified amount is greater than the allowed limit ''{0}'' ,The refund amount is greater than the invoice amount
invalid_invoice_state,{0},{0},{0}
xero_disabled,A Xero integrálása le van tiltva a webhelyén. További részletekért és segítségért forduljon a support@chargebee.com webhelyhez.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.,Xero integration is disabled for your site. Please contact support@chargebee.com for further details and assistance.
no_card_present_for_refund,"Nem lehet feldolgozni a kérelmet, mivel a tranzakcióhoz használt fizetési mód törölve lett.",Cannot process request as the payment method used for this transaction has been cleared.,Cannot process request as the payment method used for this transaction has been cleared.
insufficient card payments,"A művelet nem folytatható, mivel a visszatérítéshez más kártyás fizetések szükségesek",Operation cannot be proceed since customers different card payments are required to refund,Operation cannot be proceed since customers different card payments are required to refund
invoice_price_type,Valamennyi tételnek azonos árfajtával kell rendelkeznie (adót nem tartalmazó / adót magában foglaló).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).,All lineitem should of same price type(Tax Exclusive/ Tax Inclusive).
referenced_line_item_not_found,A hivatkozott terhelési sor {0} nincs csatolva a számlához {1},The referenced charge line item {0} is not attached to invoice {1},The referenced charge line item {0} is not attached to invoice {1}
refund_failed,A visszatérítési művelet nem sikerült. Hibaüzenet: {0},Refund operation failed. Error message: {0},Refund operation failed. Error message: {0}
operation_failed,{0},{0},{0}
product_type_mismatch,"Nem számlázhat mind digitális, mind nem digitális termékeket ugyanazzal a számlával.",You cannot bill both digital and non-digital products using the same invoice.,You cannot bill both digital and non-digital products using the same invoice.
invoice.operation_not_suppoerted,{0},{0},{0}
address_change_not_supported,"A cím nem változtatható meg, mivel megváltoztatja az alkalmazott adót",Address cannot be changed as it changes the applied tax,Address cannot be changed as it changes the applied tax
