key,value,reference value,description
card_orders.order.id,Id pemesanan,Order ID,
button.update_payment_method,Perbarui Metode Pembayaran,Update Payment Method,
button.extend_subscription,Perpanjang Langganan,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,Alamat pengiriman,Shipping Address,
button.retarget_hp_url,Selesaikan Pembelian Anda,Complete Your Purchase,
button.reset_password,Setel Ulang Kata Sandi,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Siklus Saat Ini,Current Cycle,
button.portal_verify_email,verifikasi alamat email,Verify Email Address,
card_invoices.title,Faktur Anda,Your Invoices,
card_addresses.billing_address.full_billing_address,alamat tagihan,Billing Address,
button.pay_now,Bayar sekarang,Pay Now,
button.claim_gift,Klaim Hadiah,Claim Gift,
card_orders.order.shipment_carrier,Pengangkut pengiriman,Shipment carrier,
button.click_here,Klik disini,Click Here,
card_contract_terms.contract_term.billing_cycle,Total Siklus Penagihan,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Metode pembayaran yang dipilih,Selected payment method,
card_orders.order.batch_id,ID Batch,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Detil tambahan,Additional details,
card_recurring_items.title,Langganan Anda,Your Subscription,
card_contract_terms.contract_term.termination_fee,Biaya pemutusan hubungan kerja,Termination fee,
card_customer.title,Detail Anda,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,Alamat pengiriman,Shipping Address,
card_gift_message.title,Ini pesan pribadi untuk Anda,Here's a personal message for you,
card_orders.order.amount,Jumlah pesanan,Order Amount,
card_orders.order.shipping_date,Tanggal pengiriman,Shipment date,
card_hp_order_items.title,Item dalam pesanan Anda:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Di Term-End,At Term-End,
card_orders.order.tracking_id,ID pelacakan,Tracking id,
card_recurring_items.subscription.po_number,nomor PO,PO Number,
card_orders.order.note,Catatan,Note,
card_contract_terms.title,Detail kontrak,Contract details,
card_contract_terms.contract_term.total_contract_value,Total Nilai Kontrak,Total Contract Value,
card_contract_terms.contract_term.contract_period,Masa kontrak,Contract Period,
card_orders.title,Pesanan Anda,Your order,
card_customer.customer.id,ID,ID,
