key,value,reference value,description
portal.action.success.not_signed_up,U heeft zich nog niet aangemeld. We hebben de aanmeldlink naar uw e-mail gestuurd.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Markering van %{payment_method} als reservebetaalmethode ongedaan gemaakt.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,U heeft uw klantportal-account al ingesteld met dit e-mailadres. Gelieve hier in te loggen.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} details zijn bijgewerkt.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,U heeft het maximale aantal pogingen om deze bankrekening te verifiëren overschreden,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,U heeft uw e-mailadres niet geverifieerd. Er is nog een verificatie-e-mail naar uw account gestuurd. U moet uw e-mailadres verifiëren om in te loggen.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,U ontvangt de instructies voor het opnieuw instellen van het wachtwoord als u zich heeft aangemeld met deze e-mail-ID.,You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,De URL lijkt verlopen of ongeldig te zijn. Voer uw e-mailadres in om een ​​andere link aan te vragen.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,U heeft uw aanmelding nog niet voltooid. We hebben de aanmeldingslink naar uw e-mail gestuurd.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Je wachtwoord is met succes veranderd.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} toegevoegd als betaalmethode,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,U heeft uw account succesvol geverifieerd. Hier inloggen.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Uw verzendadresgegevens zijn bijgewerkt.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Uw factuuradresgegevens zijn bijgewerkt.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Uw abonnement is geannuleerd en uw creditcard is verwijderd.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Je abonnement is opgezegd.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} verwijderd.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,U heeft uw klantenportaal al opgezet. Er is een verificatie-e-mail verzonden. Verifieer je e-mailadres en probeer in te loggen.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} gemarkeerd als primaire betaalmethode.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Uw abonnement is bijgewerkt.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Uw accountgegevens zijn bijgewerkt.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Je wachtwoord is verlopen. Wijzig het hier.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Succes: uw wachtwoord is gereset! Hier inloggen.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,We hebben een e-mail gestuurd met instructies om uw aanmelding te voltooien.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} gemarkeerd als reservebetaalmethode.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,De bankrekening is succesvol geverifieerd.,The bank account is successfully verified.,The bank account is successfully verified.
