key,value,reference value,description
taxjar_communication_failure,"Xin lỗi, chúng tôi không thể liên lạc với TaxJar ngay bây giờ. Xin hãy thử lại sau một vài giây.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Lỗi hệ thống. Trạng thái tài liệu không hợp lệ trong Avalara.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Địa chỉ tổ chức không hợp lệ hoặc không đầy đủ. Vui lòng xác minh và thử lại.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Thông tin xác thực Avalara được cung cấp không hợp lệ.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Địa chỉ tổ chức không hợp lệ hoặc không đầy đủ. Vui lòng xác minh và thử lại.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,TaxJar Mã sản phẩm không được định cấu hình cho mặt hàng {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Xin lỗi, địa chỉ giao hàng đã không thể kiểm tra địa chỉ {0}. Vui lòng xác minh và thử lại.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Xin lỗi, địa chỉ giao hàng không hợp lệ hoặc không đầy đủ. Vui lòng xác minh và thử lại.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Thông tin đăng nhập TaxJar được cung cấp không hợp lệ.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,Không thể xóa thông tin đăng nhập {0} vì chúng đã được sử dụng. Vui lòng xóa cấu hình thuế {0} trước khi xóa thông tin đăng nhập {0}.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,Không thể tính thuế suất vì địa chỉ giao hàng / thanh toán không hợp lệ hoặc không đầy đủ. Vui lòng xác minh và thử lại.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Xin lỗi, chủ đề này không hỗ trợ {0}. Vui lòng chọn một chủ đề khác.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Địa chỉ thanh toán không hợp lệ hoặc không đầy đủ. Vui lòng xác minh và thử lại.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Mã Công ty được định cấu hình cho tài khoản Avalara AvaTax của bạn không hoạt động hoặc không có.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Vui lòng cung cấp địa chỉ thanh toán hợp lệ trước khi xóa địa chỉ giao hàng.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,Không thể vô hiệu / xóa tài liệu này vì nó chưa được đăng lên Avalara. Vui lòng thử lại sau một thời gian.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Rất tiếc, chúng tôi không thể liên lạc với Avalara ngay bây giờ. Xin hãy thử lại sau một vài giây.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Xin lỗi, đã xảy ra sự cố khi yêu cầu đang được xử lý. Xin hãy thử lại sau một vài giây.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Bạn có thể chọn Mã thực thể Avalara hoặc Số miễn trừ, không phải cả hai.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Xin lỗi, đã xảy ra sự cố khi yêu cầu đang được xử lý. Xin hãy thử lại sau một vài giây.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
