key,value,reference value,description
portal.action.success.not_signed_up,Du har ikke tilmeldt dig endnu. Vi har sendt tilmeldingslinket til din e-mail.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Umærket %{payment_method} som backup betalingsmetode.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Du har allerede konfigureret din kundeportalkonto ved hjælp af denne e-mail-adresse. Log ind her.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} detaljer er blevet opdateret.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Du har overskredet det maksimale antal forsøg på at bekræfte denne bankkonto,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Du har ikke bekræftet din e-mail. En anden bekræftelses-e-mail er sendt til din konto. Du skal bekræfte dit e-mail-id for at logge ind.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Du modtager instruktionerne om nulstilling af adgangskoden, hvis du har tilmeldt dig dette e-mail-id.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,URL'en ser ud til at være udløbet eller ugyldig. Indtast din e-mail-adresse for at anmode om et nyt link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Du har ikke afsluttet din tilmelding endnu. Vi har sendt tilmeldingslinket til din e-mail igen.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Din adgangskode er blevet ændret.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} tilføjet som betalingsmetode,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Du har bekræftet din konto. Log ind her.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Opdateret dine leveringsadressedetaljer.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Opdateret dine faktureringsadresseoplysninger.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,"Dit abonnement blev annulleret, og dit kreditkort blev fjernet.",Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Dit abonnement blev annulleret.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} slettet.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,"Du har allerede konfigureret din kundeportal. Der er sendt en bekræftelses-e-mail. Bekræft din e-mail-adresse, og prøv at logge ind.",You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} markeret som primær betalingsmetode.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Opdateret dit abonnement.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Opdateret dine kontooplysninger.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Din adgangskode er udløbet. Skift det her.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Succes: Din adgangskode er nulstillet! Log ind her.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Vi har sendt en e-mail med instruktioner til at gennemføre din tilmelding.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} markeret som Backup betalingsmetode.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Bankkontoen er bekræftet.,The bank account is successfully verified.,The bank account is successfully verified.
