key,value,reference value,description
hp.portal.mark.backup,Маркиране като резервно копие,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week,%{period} седмици,%{period} Weeks,2 Weeks
hp.portal.powered_by,Задвижвани от,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,не може да остане празно,cannot be blank,cannot be blank
action_error.post,При изпращането имаше грешки,There were errors while submitting,There were errors while submitting
hp.change_link,Промяна,Change,Change link
hp.portal.signed_up,Регистриран на %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Показване,Showing,Showing invoice label
payment_method.info.card,"карта, завършваща с %{last4_digits}",card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, Номер на сметка, завършващ с %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Сигурно плащане с Chargebee,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Архивиране,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Настройте Директен дебит,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Маркиране като първично,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card, %{card_type} карта,%{card_type} card,Visa Card
hp.apple_card_ending,Край на картата ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,успешно сте актуализирали данните за вашата карта.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,"Платете сигурно, като използвате информацията от вашия акаунт в Amazon.",Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Премахнете Backup,Remove Backup,Unmarking a payment method as Backup
hp.card_ending,%{card_type} карта завършва ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,успешно сте се регистрирали за услугата,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,ДАНЪК (ОЩЕ ДА СЕ ИЗЧИСЛИ),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Пренасочване към PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,за %{no_of_terms} условия,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,При изпращането имаше грешки,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,"Проблем при обработката на формуляра ви. Моля, проверете данните за формуляра си.",Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Основна,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,PayPal Express Checkout акаунт,PayPal Express Checkout account,PayPal Express Checkout account
