key,value,reference value,description
portal.action.success.not_signed_up,Du har inte registrerat dig ännu. Vi har skickat registreringslänken till ditt e-postmeddelande.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Omärkt %{payment_method} som reservbetalningsmetod.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Du har redan konfigurerat ditt kundportalkonto med den här e-postadressen. Logga in här.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} detaljer har uppdaterats.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Du har överskridit det maximala antalet försök att verifiera detta bankkonto,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Du har inte verifierat din e-postadress. Ytterligare ett verifierings-e-postmeddelande har skickats till ditt konto. Du måste verifiera ditt e-post-ID för att logga in.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,Du kommer att få instruktionerna för återställning av lösenord om du prenumererar med detta e-post-ID.,You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,Webbadressen verkar antingen vara utgången eller ogiltig. Ange din e-postadress för att begära en ny länk.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Du har inte slutfört din registrering ännu. Vi har ångrat registreringslänken till din e-post.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Ditt lösenord har ändrats.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} har lagts till som betalningsmetod,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Du har verifierat ditt konto. Logga in här.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Uppdaterade dina leveransadressuppgifter.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Uppdaterad faktureringsadressinformation.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Din prenumeration har avslutats och ditt kreditkort har tagits bort.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Din prenumeration har avslutats.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} har tagits bort.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Du har redan konfigurerat din kundportal. Ett verifierings-e-postmeddelande har skickats. Kontrollera din e-postadress och försök logga in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} markerad som primär betalningsmetod.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Uppdaterat din prenumeration.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Uppdaterade dina kontouppgifter.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Ditt lösenord har gått ut. Ändra det här.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Framgång: Ditt lösenord har återställts! Logga in här.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Vi har skickat ett mejl med instruktioner för att slutföra din registrering.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} markerat som Backup betalningsmetod.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Bankkontot har verifierats.,The bank account is successfully verified.,The bank account is successfully verified.
