key,value,reference value,description
portal.action.success.not_signed_up,Zatiaľ ste sa neprihlásili. Na váš e-mail sme poslali odkaz na registráciu.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Neoznačené %{payment_method} ako záložný spôsob platby.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Pomocou tejto e-mailovej adresy ste si už nastavili účet zákazníckeho portálu. Prihláste sa tu.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} podrobností bolo aktualizovaných.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Prekročili ste maximálny počet pokusov o overenie tohto bankového účtu,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,"Neoverili ste svoj e-mail. Na váš účet bol odoslaný ďalší overovací e-mail. Ak sa chcete prihlásiť, musíte overiť svoje e-mailové ID.",You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Pokyny na obnovenie hesla dostanete, ak ste sa prihlásili na odber pomocou tohto e-mailového ID.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,"Zdá sa, že webovej adrese vypršala platnosť alebo je neplatná. Zadajte svoju e-mailovú adresu a požiadajte o ďalší odkaz.",The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Registráciu ste ešte nedokončili. Zlyhali sme prihlasovací odkaz na váš e-mail.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Vaše heslo bolo úspešne zmenené.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} pridané ako spôsob platby,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Úspešne ste overili svoj účet. Prihláste sa tu.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Údaje o dodacej adrese boli úspešne aktualizované.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Údaje o fakturačnej adrese boli úspešne aktualizované.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Vaše predplatné bolo úspešne zrušené a vaša kreditná karta bola odstránená.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Vaše predplatné bolo úspešne zrušené.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} bolo odstránených.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Zákaznícky portál ste už nastavili. Bol odoslaný overovací e-mail. Overte svoju e-mailovú adresu a skúste sa prihlásiť.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} označený ako primárny spôsob platby.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Vaše predplatné bolo úspešne aktualizované.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Údaje o vašom účte boli úspešne aktualizované.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Platnosť vášho hesla vypršala. Zmeňte to tu.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Úspech: Vaše heslo bolo obnovené! Prihláste sa tu.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Poslali sme e-mail s pokynmi na dokončenie registrácie.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} označený ako záložný spôsob platby.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Bankový účet je úspešne overený.,The bank account is successfully verified.,The bank account is successfully verified.
