key,value,reference value,description
portal.action.success.not_signed_up,Anda belum mendaftar. Kami telah mengirimkan link pendaftaran ke email Anda.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup, %{payment_method} tidak ditandai sebagai metode pembayaran Cadangan.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Anda telah menyiapkan akun portal pelanggan Anda menggunakan alamat email ini. Silahkan login disini.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} detail telah diperbarui.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Anda telah melebihi jumlah percobaan maksimum untuk memverifikasi rekening bank ini,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Anda belum memverifikasi email Anda. Email verifikasi lain telah dikirim ke akun Anda. Anda perlu memverifikasi ID email Anda untuk masuk.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,Anda akan menerima instruksi pengaturan ulang kata sandi jika Anda telah berlangganan menggunakan ID email ini.,You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,URL tampaknya kedaluwarsa atau tidak valid. Silakan masukkan alamat email Anda untuk meminta tautan lain.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Anda belum menyelesaikan pendaftaran Anda. Kami telah mengirim ulang tautan pendaftaran ke email Anda.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Kata sandi Anda telah berhasil diubah.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} ditambahkan sebagai metode pembayaran,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Anda telah berhasil memverifikasi akun Anda. Masuk disini.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Berhasil memperbarui detail alamat pengiriman Anda.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Berhasil memperbarui detail alamat penagihan Anda.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Berhasil membatalkan langganan Anda dan kartu kredit Anda dihapus.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Berhasil membatalkan langganan Anda.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} dihapus.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Anda sudah menyiapkan portal pelanggan Anda. Email verifikasi telah dikirim. Harap verifikasi alamat email Anda dan coba masuk.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} ditandai sebagai Metode pembayaran utama.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Berhasil memperbarui langganan Anda.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Berhasil memperbarui detail akun Anda.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Kata sandi Anda telah kedaluwarsa. Harap ubah di sini.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Berhasil: Kata sandi Anda telah disetel ulang! Masuk disini.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Kami telah mengirimkan email dengan instruksi untuk menyelesaikan pendaftaran Anda.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} ditandai sebagai Metode pembayaran cadangan.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Rekening bank berhasil diverifikasi.,The bank account is successfully verified.,The bank account is successfully verified.
