key,value,reference value,description
invoice.transaction.credit_applied, %{date} tarihinde %{amount} tutarında bir kredi uygulandı.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Bu tutar, ülkenizdeki vergi kanunlarına göre değişebilen vergilendirilebilir tutara göre hesaplanır.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on, %{date} tarihinde iptal edildi.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, Kart ile., by Card.,payment with card
transaction.payment_method.via_pm, %{payment_method} üzerinden., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Ayarlamalar,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} %{date} tarihinde iptal edildi.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card, %{card_type} tarafından %{last4_digits} ile biten kart., by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated, %{amount} geri ödemesi %{date} tarihinde başlatıldı,%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"Geçerli bir KDV kayıt numarası sağlandığından ve karşı ödeme mekanizması uygulandığından, bu faturada KDV uygulanmaz.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} %{date} tarihinde iade edildi,%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Ödemeler,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"Geçerli bir KDV kayıt numarası sağlandığından ve karşı ödeme mekanizması uygulandığından, bu kredi notuna KDV uygulanmaz.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Çevrimdışı Ödeme,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, Karta., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,Lütfen Birleşik Krallık artık AB'nin bir parçası olmadığı için hizmetlerimizin Birleşik Krallık KDV kapsamı dışında olduğunu unutmayın.,"Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card, %{last4_digits} ile biten %{card_type} kartına., to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Kredi,Credits,Credits footer title
invoice.transaction.adjustment, %{date} tarihinde %{amount} tutarında bir düzenleme yapıldı.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"Geçerli bir KDV kayıt numarası sağlandığından ve karşı ödeme mekanizması uygulandığından, bu %{quote_title} için KDV uygulanamaz.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text, %{date} tarihinde geri ödeme olarak %{amount} tutarında bir ters ibraz kaydedildi,A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,"Bu ihracat işlemi, AB KDV Direktifi'nin 146. Maddesi uyarınca KDV'den muaftır.",This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm, %{payment_method} ( %{last4_digits} ile biten %{card_type} kartı) üzerinden., via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, %{payment_method} tarafından., by %{payment_method}.,by payment method type
