key,value,reference value,description
portal.action.success.not_signed_up,Et ole vielä rekisteröitynyt. Olemme lähettäneet rekisteröitymislinkin sähköpostiisi.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup, %{payment_method} ei ole merkitty varamaksutavaksi.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Olet jo määrittänyt asiakasportaalisi tilin käyttämällä tätä sähköpostiosoitetta. Ole hyvä ja kirjaudu sisään.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} -tietoja on päivitetty.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Olet ylittänyt tämän pankkitilin vahvistamisyritysten enimmäismäärän,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Et ole vahvistanut sähköpostiosoitettasi. Toinen vahvistusviesti on lähetetty tilillesi. Sinun on vahvistettava sähköpostiosoitteesi kirjautumista varten.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Saat salasanan palautusohjeet, jos olet tilannut tämän sähköpostitunnuksen.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,URL näyttää olevan joko vanhentunut tai virheellinen. Syötä sähköpostiosoitteesi pyytääksesi uutta linkkiä.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Et ole vielä saanut ilmoittautumistasi loppuun. Olemme lähettäneet uudelleen sähköpostiisi kirjautumislinkin.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Salasanasi on vaihdettu onnistuneesti.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} lisättiin maksutapana,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Olet vahvistanut tilisi. Kirjaudu sisään tästä.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Toimitusosoitetietojesi päivittäminen onnistui.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Laskutusosoitetietojesi päivittäminen onnistui.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Peruutit tilauksesi ja luottokorttisi poistettiin.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Tilauksesi peruuttaminen onnistui.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} poistettu.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Olet jo määrittänyt asiakasportaalin. Vahvistussähköposti on lähetetty. Vahvista sähköpostiosoitteesi ja yritä kirjautua sisään.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} merkitty ensisijaiseksi maksutapaksi.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Tilauksesi päivittäminen onnistui.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Tilitietojesi päivittäminen onnistui.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Salasanasi on vanhentunut. Muuta se täällä.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Menestys: Salasanasi on vaihdettu! Kirjaudu sisään tästä.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,"Olemme lähettäneet sähköpostin, jossa on ohjeet rekisteröinnin suorittamiseen.",We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} merkitty varamaksutavaksi.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Pankkitilin vahvistus onnistui.,The bank account is successfully verified.,The bank account is successfully verified.
