key,value,reference value,description
not_supported_for_moving_out_resource,"Je nám ľúto, ale táto operácia nie je teraz možná. Skúste to znova po nejakom čase alebo nás kontaktujte so žiadosťou o pomoc.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Prihlásenie zlyhalo z dôvodu nesprávnych poverení.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Overenie protokolu Recaptcha zlyhalo. Skúste to znova,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Vaše heslo musí mať najmenej 8 znakov,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,"Ojoj! Zdá sa, že platnosť tejto adresy URL skončila alebo je neplatná.",Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Prístup na zákaznícky portál je zakázaný.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Ojoj! Spätná alebo zrušená webová adresa je neplatná.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Prístup na zákaznícky portál cez API je zakázaný.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Overte e-mailovú adresu. Táto registrácia funguje, iba ak ste už predplatiteľom tejto služby.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Nové heslo by nemalo byť súčasné heslo,New password should not be the current password,New password should not be the current password
subscription_canceled ,"Toto je zrušené predplatné. Ak chcete získať viac informácií, kontaktujte nás.",This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Aktivácia relácie portálu nie je pre túto požiadavku podporovaná.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Vaše heslo musí mať minimálne jeden veľký znak, malý znak a číslo","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,Zatiaľ ste si nenastavili svoj účet zákazníckeho portálu. Začnite pomocou možnosti „Registrovať sa“.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Prihlásenie zlyhalo z dôvodu nesprávnych poverení.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,Neoverili ste svoj e-mail. Začnite pomocou možnosti „Registrovať sa“.,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Jednorazové heslo je neplatné,Invalid one time password,Invalid one time password
account_locked_error,Váš účet bol uzamknutý z bezpečnostných dôvodov.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Platnosť tokenu portálu bola neplatná.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,E-mailovú adresu nie je možné aktualizovať.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
