key,value,reference value,description
hp.portal.mark.backup,Merkitse varmuuskopiona,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} viikkoa,%{period} Weeks,2 Weeks
hp.portal.powered_by,Voimanlähteenä,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,ei voi olla tyhjä,cannot be blank,cannot be blank
action_error.post,Lähetettäessä tapahtui virheitä,There were errors while submitting,There were errors while submitting
hp.change_link,Muuttaa,Change,Change link
hp.portal.signed_up,Rekisteröitynyt %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Näytetään,Showing,Showing invoice label
payment_method.info.card,"kortti, joka päättyy %{last4_digits}",card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, tilinumero, joka päättyy %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Chargebee-suojattu maksu,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Varmuuskopioida,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Määritä suoraveloitus,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Merkitse ensisijaiseksi,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card, %{card_type} -kortti,%{card_type} card,Visa Card
hp.apple_card_ending,Kortti päättyy ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,olet päivittänyt korttisi tiedot onnistuneesti.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Maksa turvallisesti käyttämällä Amazon-tilisi tietoja.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Poista varmuuskopio,Remove Backup,Unmarking a payment method as Backup
hp.card_ending, %{card_type} kortti päättyy ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,olet rekisteröitynyt palveluun,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,VERO (Vielä laskettava),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Uudelleenohjaus PayPaliin ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge, %{no_of_terms} ehdolle,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Lähetettäessä tapahtui virheitä,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Ongelma lomaketta käsiteltäessä. Tarkista lomakkeen tiedot.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Ensisijainen,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,PayPal Express Checkout -tili,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,Valtuutan ja pyydän täten %{merchant_name} veloittamaan varoja tililtäni ilmoitetulta rahoituslaitokselta ja hyvittämään varat. Valtuutan %{merchant_name} tekemään kaikki tarvittavat toimet virheiden korjaamiseksi.,"I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
