key,value,reference value,description
sub_details_card.metered_item.footnote,Количество может варьироваться в зависимости от использования в течение расчетного периода.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,"Вы получили это письмо, потому что оплачиваете подписки и расходы этого клиента.",You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Эта ссылка истечет через 7 дней.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Единицы измерения,Units,
card_offline_pm.instruction.text,"Пожалуйста, убедитесь, что у вас есть точная сумма по прибытии нашего агента по обслуживанию.",Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Вы можете скачать и просмотреть подробности здесь. Эта ссылка истечет через 7 дней.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,"Вы получили это письмо, поскольку являетесь родителем этого клиента.",You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Этот счет был оплачен вашей родительской учетной записью.,This invoice was paid by your parent account,
download_attachments_note.link_text,Скачать,Download,
invoice_details_card.download_link.text,Загрузите и просмотрите все один или несколько счетов-фактур,Download and view all invoices,
