key,value,reference value,description
hp.portal.mark.backup,Označi kot varnostno kopijo,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} tednov,%{period} Weeks,2 Weeks
hp.portal.powered_by,Poganja ga,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,ne sme biti prazno,cannot be blank,cannot be blank
action_error.post,Pri oddaji je prišlo do napak,There were errors while submitting,There were errors while submitting
hp.change_link,Spremeni se,Change,Change link
hp.portal.signed_up,Prijavljen %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Prikazovanje,Showing,Showing invoice label
payment_method.info.card,"kartica, ki se konča z %{last4_digits}",card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, številka računa, ki se konča z %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Varno plačilo polnilca,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Rezerva,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Nastavite neposredno bremenitev,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Označi kot primarno,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card,Kartica %{card_type},%{card_type} card,Visa Card
hp.apple_card_ending,Končanje kartice ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,ste uspešno posodobili podatke o svoji kartici.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Varno plačujte z uporabo podatkov na vašem računu Amazon.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Odstranite varnostno kopijo,Remove Backup,Unmarking a payment method as Backup
hp.card_ending, %{card_type} kartica se konča ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,ste se uspešno prijavili za storitev,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,DAVEK (ŠE BITI IZRAČUNAN),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Preusmeritev na PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,za %{no_of_terms} pogojev,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Pri oddaji je prišlo do napak,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Težava pri obdelavi obrazca. Preverite podatke o obrazcu.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Primarno,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,PayPal Express Checkout račun,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,"S tem pooblaščam in zahtevam, da %{merchant_name} bremeni sredstva z mojega (našega) računa pri navedeni finančni instituciji in sredstva knjiži v dobro. Pooblaščam %{merchant_name} za izvajanje vseh potrebnih ukrepov za odpravo morebitnih napak.","I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
hp.portal.ach_agree_details2,"S klikom na spodnji gumb potrjujete, da so podatki, ki ste jih navedli v tej pogodbi o odobritvi bremenitve ACH za neposredna plačila, popolni, resnični in predloženi za zgoraj izbrani namen. Veljati bo veljalo, dokler ne (smo) obvestili %{merchant_name}, da (to) želimo preklicati to pooblastilo tako, da se obrnemo na %{merchant_email} ali %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above. It will remain in effect until I (we) notify %{merchant_name} that I (we) wish to revoke this authorization by contacting %{merchant_email} or %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above.  It will remain in effect until I (we) notify Chargebee that I (we) wish to revoke this authorization by contacting sam@example.com or 9898982345."
hp.bank_account.desc,Bančni račun,Bank Account,Bank Account label
hp.portal.date,Datum,Date,Date
hp.gocardless.redirect,Preusmeritev na ponudnika neposredne bremenitve ...,Redirecting to Direct Debit Provider...,Redirecting to Direct Debit Provider... - info
hp.billing_period.year, %{period} let,%{period} Years,2 Months
hp.copied,Kopirano,Copied,Copied URL
hp.error.undetermined_vat_number,"Številke za DDV ni bilo mogoče potrditi, ker storitev VIES ni na voljo.",Could not validate VAT number as VIES service is unavailable.,Could not validate VAT number as VIES service is unavailable.
apple_pay.label.charges,STROŠKI,CHARGES,Label for main line item amount
payment_method.info.amazon_payments,Amazon Payments račun,Amazon Payments account,Amazon Payments account
hp.clientjs.invalid_coupon_code,Neveljavna koda kupona,Invalid coupon code,Invalid coupon code
hp.error.undetermined_abn_number,"ABN-ja ni mogoče obdelati, ker iskalni strežnik ABN ne deluje.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
hp.portal.ach_agreement,Sporazum o odobritvi ACH,ACH Authorization Agreement,ACH Authorization Agreement - Agreement label
hp.error.invalid_vat_number,Neveljavna številka za DDV,Invalid VAT Number,Invalid VAT Number
hp.portal.account,račun,Account,Account user account label
hp.portal.manage,Upravljaj,Manage,Portal account Manage label
hp.error.invalid_abn_number,Neveljaven ABN,Invalid ABN ,Invalid ABN
hp.billing_period.month, %{period} mesecev,%{period} Months,2 Months
action_error.get,Med obdelavo vaše zahteve je prišlo do napak,There were errors while processing your request,There were errors while processing your request
apple_pay.label.discount,POPUSTI,DISCOUNTS,Label for discount amount
hp.update_payment_method.details,Posodabljanje podrobnosti o načinu plačila ...,Updating the payment method details...,Updating the payment method details...
payment_method.info.direct_debit_no_bank_name,"številka bančnega računa, ki se konča z %{last4_digits}",bank account number ending with %{last4_digits},
hp.paypal.desc,Varnejši in enostavnejši način plačila,"The safer, easier way to pay","The safer, easier way to pay - one liner for paypal gateway payments"
hp.copy,Kopirati,Copy,Copy URL
hp.portal.bank_account,bančni račun,bank account,bank account label
