key,value,reference value,description
taxjar_communication_failure,"Maaf, kami tidak dapat berkomunikasi dengan TaxJar sekarang. Silakan coba setelah beberapa saat.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time.","Sorry, we’re unable to communicate with TaxJar right now. Please try after some time."
avalara_doc_status_invalid,Operasi gagal. Status dokumen tidak valid di Avalara.,Operation failed. Invalid document status in Avalara.,Operation failed. Invalid document status in Avalara.
taxjar_origin_address_error,Alamat organisasi tidak valid atau tidak lengkap. Harap verifikasi dan coba lagi.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
ava_auth_error,Kredensial Avalara yang diberikan tidak valid.,Avalara credentials provided are invalid.,Avalara credentials provided are invalid.
origin_address_error,Alamat organisasi tidak valid atau tidak lengkap. Harap verifikasi dan coba lagi.,The organizational address is either invalid or incomplete. Please verify and try again.,The organizational address is either invalid or incomplete. Please verify and try again.
taxjar_product_code_not_found,Kode Produk TaxJar tidak dikonfigurasi untuk item {0}.,TaxJar Product code is not configured for the item {0}.,TaxJar Product code is not configured for the item {0}.
address_validation_failed,"Maaf, alamat pengiriman gagal {0} pemeriksaan alamat. Harap verifikasi dan coba lagi.","Sorry, shipping address has failed {0} address check. Please verify and try again.","Sorry, shipping address has failed {0} address check. Please verify and try again."
shipping_address_invalid,"Maaf, alamat pengiriman tidak valid atau tidak lengkap. Harap verifikasi dan coba lagi.","Sorry, shipping address is either invalid or incomplete. Please verify and try again.","Sorry, shipping address is either invalid or incomplete. Please verify and try again."
taxjar_auth_error,Kredensial TaxJar yang diberikan tidak valid.,TaxJar credentials provided are invalid.,TaxJar credentials provided are invalid.
cred_delete_invalid_state,{0} kredensial tidak dapat dihapus karena sudah digunakan. Harap hapus {0} konfigurasi pajak sebelum menghapus kredensial {0}.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.,{0} credential cannot be cleared as they are already in use. Please remove {0} tax configuration before clearing {0} credential.
destination_address_error,Tidak dapat menghitung tarif pajak karena alamat pengiriman / penagihan tidak valid atau tidak lengkap. Harap verifikasi dan coba lagi.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.,Unable to calculate the tax rate as the shipping/billing address is either invalid or incomplete. Please verify and try again.
multi_step_layout_disabled,"Maaf, tema ini tidak mendukung {0}. Pilih tema lain.","Sorry, this theme does not support {0}. Please choose a different theme.","Sorry, this theme does not support {0}. Please choose a different theme."
billing_address_invalid,Alamat penagihan tidak valid atau tidak lengkap. Harap verifikasi dan coba lagi.,The Billing address is either invalid or incomplete. Please verify and try again.,The Billing address is either invalid or incomplete. Please verify and try again.
company_code_error,Kode Perusahaan yang dikonfigurasi untuk akun Avalara AvaTax Anda tidak aktif atau tidak ada.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.,The Company Code configured for your Avalara AvaTax account is either inactive or not present.
delete_shipping_address_not_allowed,Berikan alamat penagihan yang valid sebelum menghapus alamat pengiriman.,Please provide a valid billing address before deleting the shipping address.,Please provide a valid billing address before deleting the shipping address.
avalara_doc_in_invalid_state,Dokumen ini tidak dapat dibatalkan / dihapus karena belum diposting ke Avalara. Harap coba lagi setelah beberapa saat.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.,This document cannot be voided/deleted as it has not been posted to Avalara. Please retry after some time.
avalara_communication_failure,"Maaf, kami tidak dapat berkomunikasi dengan Avalara sekarang. Silakan coba setelah beberapa saat.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time.","Sorry, we’re unable to communicate with Avalara right now. Please try after some time."
hp_avalara_integ_failure,"Maaf, terjadi kesalahan saat permintaan sedang diproses. Silakan coba setelah beberapa saat.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
both_exemption_reasons_passed,"Anda dapat memilih Kode Entitas Avalara atau Nomor Pengecualian, tidak keduanya.","You can either choose the Avalara Entity Code or Exempt Number, not both.","You can either choose the Avalara Entity Code or Exempt Number, not both."
hp_taxjar_integ_failure,"Maaf, terjadi kesalahan saat permintaan sedang diproses. Silakan coba setelah beberapa saat.","Sorry, something went wrong while the request was being processed. Please try after some time.","Sorry, something went wrong while the request was being processed. Please try after some time."
