key,value,reference value,description
not_supported_for_moved_out_resource,Bu müşteriyi {0} sitesine taşıdığımız için güncelleme işlemleri desteklenmiyor,The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,Maalesef kimlik doğrulama başarısız oldu. _Jsapi_key parametresi istekte mevcut değil,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{1} tanımlayıcısına sahip {0} kaynak mevcut değil.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} bulunamadı,{0} not found,When resource is not found.
tos_not_agreed,Ödeme işlemini tamamlamak için şartları kabul etmek zorunludur.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{1} tanımlayıcısına sahip {0} kaynak zaten var.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,Maalesef kimlik doğrulama başarısız oldu. Geçersiz api anahtarı,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,Maalesef kimlik doğrulama başarısız oldu. Temel kimlik doğrulama başlığı geçersiz bir biçime sahip.,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Bu müşteri için bu API'ye izin verilmiyor,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} kaynak zaten mevcut,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,"İşlem, iptal edilmemiş abonelikleri olan müşteriler için desteklenmez.",The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,Değer {0} içinde zaten mevcut,The value already present in {0},The value already present in {0}
api_disabled,Site etkinleştirilmedi,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Üzgünüz, parametre tarayıcı tarafından desteklenmiyor.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,{1} parametresinde belirtilen {0} mevcut değil,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,Maalesef kimlik doğrulama başarısız oldu. Temel kimlik doğrulama için yetkilendirme başlığı istekte mevcut değil,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Üzgünüz, lütfen bu API'yi kullanmak için sipariş yönetimi site ayarını etkinleştirin.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Üzgünüz, api istek sınırına ulaşıldı. Lütfen {0} dakika sonra deneyin.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Üzgünüz, js kitaplığı istek sınırına ulaşıldı. Lütfen bir süre sonra deneyin.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Bu URL artık geçerli değil. Lütfen yardım için bizimle iletişime geçin.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,"Bu kaynak için güncelleme işlemleri artık mümkün değil, lütfen yardım için bizimle iletişime geçin.",The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,Maalesef {0} kaynağın {1} silinmesi planlandı,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"İşlem, PII temizleme için önceden planlanmış müşteriler için desteklenmez.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
