key,value,reference value,description
invoice.transaction.credit_applied,Dobropis %{amount} je bil uporabljen %{date}.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Ta znesek se izračuna na podlagi davčne osnove, ki se lahko razlikuje glede na davčno zakonodajo v vaši državi.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Razveljavljeno %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, s kartico., by Card.,payment with card
transaction.payment_method.via_pm, prek %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Prilagoditve,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} je bil odpisan %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card," s kartico %{card_type}, ki se konča z %{last4_digits}.", by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated,Vračilo v višini %{amount} je bilo izvedeno %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"Na tem računu se DDV ne uporablja, ker je bila navedena veljavna registrska številka za DDV in uporabljen mehanizem obrnjene davčne obveznosti.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} je bil vrnjen %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Plačila,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"DDV za to dobropis ne velja, ker je bila navedena veljavna registrska številka za DDV in uporabljen mehanizem obrnjene davčne obveznosti.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Plačilo brez povezave,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, na kartico, to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Ker Združeno kraljestvo ni več del EU, naše storitve ne spadajo v področje DDV v Združenem kraljestvu.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card," do kartice %{card_type}, ki se konča z %{last4_digits}.", to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Zasluge,Credits,Credits footer title
invoice.transaction.adjustment, %{amount} je bila prilagojena %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"DDV se za ta %{quote_title} ne uporablja, ker je bila navedena veljavna registrska številka za DDV in uporabljen mehanizem obrnjene davčne obveznosti.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,Vračilo v višini %{amount} je bilo zabeleženo kot vračilo %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Ta izvozni posel je oproščen plačila DDV v skladu s členom 146 direktive EU o DDV.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm," prek %{payment_method} ( %{card_type} kartica, ki se konča %{last4_digits}).", via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, z %{payment_method}., by %{payment_method}.,by payment method type
