key,value,reference value,description
enum.contract_term_base.action_at_term_end.name.renew,Fornyes til endnu en periode,Renews for another term,"<li>Contract term completes and a new contract term is started for the number of billing cycles specified in <a href=""subscriptions#create_subscription_for_customer_contract_term_billing_cycle_on_renewal""><code>contract_billing_cycle_on_renewal</code></a>.</li><li>The <code>action_at_term_end</code> for the new contract term is set to <code>renew</code>."
enum.plan_base.period_unit.name.year,År,Year,Charge based on year(s)
enum.credit_note_base.reason_code.name.chargeback,Tilbageførsel,Chargeback,Can be set when you are recording your customer Chargebacks
enum.contract_term_base.action_at_term_end.name.cancel,Kontrakten slutter,Contract ends,Contract term completes and subscription is canceled.
enum.public_card_error_code.name.paypal_general_err,Vi har stødt på et problem under adgang til din PayPal-konto.,We've encountered a problem while accessing your paypal account.,We've encountered a problem while accessing your paypal account.
enum.invoice_base.status.name.posted,Sendt,Posted,Indicates the payment is not yet collected and will be in this state till the due date to indicate the due period
enum.line_item_base.type.name.account_credits,Kontokreditter,Account Credits,Account Credits
enum.payment_method_base.type.name.paypal_express_checkout,Paypal Express Checkout,Paypal Express Checkout,Payments made via PayPal Express Checkout.
enum.payment_method_base.type.name.e_2checkout,2Checkout,2Checkout,2Checkout
enum.payment_method_base.type.name.bancontact,Bancontact,Bancontact,Bancontact Card Payments.
enum.invoice_base.status.name.pending,Verserende,Pending,"<ul><li><strong><a href=""/docs/api/invoices?prod_cat_ver=2#invoice_status"">Product Catalog 2.0:</a></strong> The invoice is
    yet to be closed (sent for payment collection). An invoice is generated with this <code>status</code> when it has line items that
    belong to items that are <code>metered</code> or when the <code>subscription.create_pending_invoices</code>
    attribute is set to <code>true</code>.<br> <strong><a href=""/docs/api/invoices?prod_cat_ver=1#invoice_status""
</li>                                                          <li>Product Catalog 1.0:</a></strong> The invoice is yet to be
    closed (sent for payment collection). All invoices are generated with this <code>status</code> when <a
            href=""https://www.chargebee.com/docs/metered_billing.html"" target=""_blank"" rel=""noreferrer noopener"">Metered
        Billing</a> is enabled for the site.</li></ul>"
enum.line_item_base.type.name.coupon_credit,Kuponkredit,Coupon Credit,Coupon Credit
enum.public_card_error_code.name.amz_account_suspended,"Stødte på et problem, mens du bruger din Amazon-konto. Vælg en anden betalingsmetode.",Encountered a problem while using your amazon account. Please select a different payment method.,Encountered a problem while using your amazon account. Please select a different payment method.
enum.public_card_error_code.name.prepaid_card_err,Forudbetalte kort understøttes ikke.,Prepaid cards are not supported.,Prepaid cards are not supported.
enum.tax_reg_number_base.label.name.gstin,GSTIN,GSTIN,GSTIN
enum.payment_method_base.type.name.card,Kort,Card,Card based payment including credit cards and debit cards. Details about the card can be obtained from the card resource.
enum.transaction_base.payment_method.name.sofort,Sofort,Sofort,Sofort
enum.item_price_base.trial_period_unit.name.month,Måned,Month,Month
enum.public_card_error_code.name.payapl_ec_token_expired_invalid,Din PayPal-session er udløbet. Prøv igen.,Your PayPal session has expired. Please try again.,Your PayPal session has expired. Please try again.
enum.line_item_base.type.name.addon_item_price,Addon-varepris,Addon Item Price,Addon Item Price
enum.quote_base.status.name.approved,godkendt,Approved,Approved.
enum.subscription_base.state.name.non_renewing,Ikke fornyelse,Non Renewing,The subscription will be canceled at the end of the current term.
enum.public_card_error_code.name.amz_agreement_declined,"Din valgte betalingsmetode i amazon blev afvist. Opdater det, og prøv igen.",Your selected payment method in amazon was declined. Please update it and try again.,Your selected payment method in amazon was declined. Please update it and try again.
enum.transaction_failure_reason.name.card_barred,Mistet / lukket / blokeret kort,Lost / Closed / Blocked Card,Lost / Closed / Blocked Card
enum.credit_card_base.card_type.name.american_express,American Express,American Express,An American Express card.
enum.line_item_base.type.name.fractional_correction,Brøkkorrektion,Fractional Correction,Fractional Correction
enum.credit_card_base.funding_type.name.credit,Kredit,Credit,A credit card.
enum.contract_term_base.action_at_term_end.name.evergreen,"Kontrakten slutter, abonnementet fortsætter med at fornyes","Contract ends, subscription continues to renew",Contract term completes and the subscription renews.
enum.credit_card_base.card_type.name.mastercard,MasterCard,MasterCard,A MasterCard.
enum.bank_account_base.account_holder_type.name.individual,Individuel,Individual,Individual
enum.bank_account_base.account_type.name.checking,Kontrol,Checking,Checking Account
enum.invoice_customization_base.cn_title.name.credit_note,KREDITNOTA,CREDIT NOTE,CREDIT NOTE
enum.transaction_base.payment_method.name.bancontact,Bancontact,Bancontact,Bancontact
enum.credit_card_base.card_type.name.other,Andet,Other,Card belonging to types other than those listed above.
enum.credit_note_base.reason_code.name.write_off,Skrive af,Write Off,"This reason will be set automatically for the Credit Notes created during invoice <a target=""_blank"" href=""https://www.chargebee.com/docs/invoice-operations.html#write-off"">Write Off</a> operation."
enum.credit_note_base.reason_code.name.fraudulent,SVIG,FRAUDULENT,FRAUDULENT
enum.credit_note_base.reason_code.name.service_unsatisfactory,Service utilfredsstillende,Service Unsatisfactory,Service Unsatisfactory
enum.transaction_failure_reason.name.fraud,Bedrageri-kort,Fraud card,Fraud card
enum.quote_setting_base.quote_title.name.proforma_invoice,PROFORMA FAKTURA,PROFORMA INVOICE,PROFORMA INVOICE
enum.item_price_base.trial_period_unit.name.day,Dag,Day,Day
enum.credit_card_base.funding_type.name.debit,Debet,Debit,A debit card.
enum.pricing_model.name.tiered,Niveauet,Tiered,The per unit price is based on the tier that the total quantity falls in.
enum.credit_card_base.card_type.name.not_applicable,Ikke anvendelig,Not Applicable,Used for offline entries in transactions. Not applicable for cards
enum.transaction_failure_reason.name.card_expired,Kortet er udløbet,Card Expired,Card Expired
enum.item_price_base.period_unit.name.month,Måned,Month,Month
enum.line_item_base.type.name.credit_adjustments,Kreditjusteringer,Credit Adjustments,Credit Adjustments
enum.transaction_failure_reason.name.contact_details_required,Ugyldige kontaktoplysninger,Invalid Contact details,Invalid Contact details
enum.credit_note_base.reason_code.name.product_unsatisfactory,Produkt utilfredsstillende,Product Unsatisfactory,Product Unsatisfactory
enum.transaction_base.payment_method.name.paypal_express_checkout,Paypal Express Checkout,Paypal Express Checkout,Paypal Express Checkout
enum.credit_note_base.status.name.voided,Annulleret,Voided,When the Credit Note has been cancelled.
enum.subscription_base.state.name.active,Aktiv,Active,The subscription is active and will be charged for automatically based on the items in it.
enum.plan_base.trial_period_unit.name.day,Dag,Day,In days
enum.credit_card_base.card_type.name.visa,Visa,Visa,A Visa card.
enum.contract_term_base.action_at_term_end.name.renew_once,Annulleres ved udgangen af ​​næste kontraktperiode,Cancels at end of next contract term,"Used when you want to renew the contract term just once. Does the following: <li>Contract term completes and a new contract term is started for the number of billing cycles specified in <a href=""subscriptions#create_subscription_for_customer_contract_term_billing_cycle_on_renewal""><code>contract_billing_cycle_on_renewal</code></a>.</li><li>The <code>action_at_term_end</code> for the new contract term is set to <code>cancel</code>.</li></ul>"
enum.transaction_failure_reason.name.invalid_payment_method,Ugyldig betalingsmetode,Invalid Payment Method,Invalid Payment Method
enum.credit_note_base.status.name.refund_due,Restitution forfalden,Refund Due,"When the credits are yet to be used, or have been partially used."
enum.line_item_base.type.name.non_recurring_addon_charge,Ikke-tilbagevendende tillægsafgift,Non Recurring Addon Charge,Non Recurring Addon Charge
enum.bank_account_base.account_type.name.unknown,Ukendt,Unknown,Bank Account Type is not set at the gateway
enum.credit_card_base.card_type.name.jcb,JCB,JCB,A JCB card.
enum.transaction_base.payment_method.name.other,Andet,Other,Payment Methods other than the above types
enum.payment_method_base.type.name.direct_debit,Direkte debitering,Direct Debit,Represents bank account for which the direct debit or ACH agreement/mandate is created.
enum.public_card_error_code.name.gw_timeout,Betalingssystemet svarede ikke i tide. Prøv efter et stykke tid.,The payment system did not respond in time. Please try after some time.,The payment system did not respond in time. Please try after some time.
enum.credit_card_base.status.name.invalid,Ugyldig,Invalid,The billing agreement cannot be used. It might become valid again either automatically or due to  customer action.
enum.subscription_base.state.name.cancelled,Aflyst,Cancelled,The subscription has been canceled and is no longer in service.
enum.quote_base.status.name.converting,Konvertering,Converting,Converting
enum.credit_note_base.reason_code.name.subscription_change,Ændring af abonnement,Subscription Change,"This reason will be set automatically for Credit Notes created during Change Subscription operation when <a target=""_blank"" href=""https://www.chargebee.com/docs/proration.html"">proration</a> is enabled"
enum.quote_setting_base.quote_title.name.quote,CITERE,QUOTE,QUOTE
enum.credit_note_base.reason_code.name.waiver,Afkald,Waiver,Waiver
enum.line_item_base.type.name.tax,Skat,Tax,Tax
enum.transaction_base.payment_method.name.apple_pay,Apple Pay,Apple Pay,Apple Pay
enum.invoice_base.status.name.payment_due,Betalingsfrist,Payment Due,Indicates the payment is not yet collected and is being retried as per retry settings.
enum.payment_method_base.type.name.sepa_credit,SEPA-kredit,SEPA Credit,SEPA Credit Transfer.
enum.payment_method_base.type.name.ach_credit,ACH-kredit,ACH Credit,ACH Credit Transfer.
enum.line_item_base.type.name.plan_setup_charge,Planopsætningsgebyr,Plan Setup Charge,Plan Setup Charge
enum.transaction_failure_reason.name.cvv_issue,CVV-problem,CVV issue,CVV issue
enum.item_price_base.period_unit.name.week,Uge,Week,Week
enum.transaction_base.payment_method.name.wechat_pay,WeChat Pay,WeChat Pay,WeChat Pay
enum.line_item_base.type.name.charge_item_price,Pris for pris,Charge Item Price,Charge Item Price
enum.line_item_base.type.name.charge,Oplade,Charge,Charge
enum.public_card_error_code.name.gw_server_error,Der opstod en fejl under behandlingen af ​​dit kort. Kontakt support.,An error occured while processing your card. Please contact support.,An error occured while processing your card. Please contact support.
enum.line_item_base.type.name.addon_charge,Tillægsafgift,Addon Charge,Addon Charge
enum.quote_base.status.name.invoiced,Faktureret,Invoiced,Invoiced
enum.transaction_base.payment_method.name.bank_transfer,Bankoverførsel,Bank Transfer,Bank Transfer
enum.public_card_error_code.name.gw_invalid_configuration,Der opstod en fejl under behandlingen af ​​dit kort. Kontakt support.,An error occured while processing your card. Please contact support.,An error occured while processing your card. Please contact support.
enum.credit_note_base.reason_code.name.subscription_cancellation,Annullering af abonnement,Subscription Cancellation,This reason will be set automatically for Credit Notes created during cancel subscription operation
enum.transaction_base.payment_method.name.amazon_payments,Amazon Payments,Amazon Payments,Amazon Payments
enum.invoice_customization_base.tax_reg_no_label.name.vat_reg_no,Momsregistreringsnummer,VAT Reg # ,VAT Reg # 
enum.line_item_base.type.name.plan_item_price,Pris for planartikel,Plan Item Price,Plan Item Price
enum.transaction_base.payment_method.name.alipay,Alipay,Alipay,Alipay
enum.public_card_error_code.name.amz_agreement_rejected,Kan ikke bruge din Amazon-konto. Vælg en anden betalingsmetode.,Unable to use your amazon account. Please select a different payment method.,Unable to use your amazon account. Please select a different payment method.
