key,value,reference value,description
sub_details_card.metered_item.footnote,"Miktar, fatura dönemi boyunca kullanıma göre değişebilir.",Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,"Bu e-postayı, bu müşterinin abonelikleri ve ücretleri için ödeme yaptığınız için alıyorsunuz",You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Bu bağlantı 7 gün içinde sona erecek.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Birimler,Units,
card_offline_pm.instruction.text,Lütfen servis acentemizin gelişinde tam miktarı hazır olduğunuzdan emin olun.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Detayları buradan indirebilir ve görüntüleyebilirsiniz. Bu bağlantı 7 gün içinde sona erecek.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,"Bu e-postayı, bu müşterinin ebeveyni olduğunuz için alıyorsunuz.",You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Bu fatura ebeveyn hesabınız tarafından ödendi,This invoice was paid by your parent account,
download_attachments_note.link_text,İndir,Download,
invoice_details_card.download_link.text,Bir veya daha fazla faturayı indirin ve görüntüleyin,Download and view all invoices,
