key,value,reference value,description
cbjs_grp.bank,은행,Bank,Bank
cbjs_grp.select_bank,은행 선택,Select Bank,Select Bank
cbjs_grp.list_supported_bank,지원되는 은행 목록을 가져 오는 중,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,계정 세부 정보 추가,Add your account details,Add your account details
inapp_checkout.customer.header.edit,계정 세부 정보 편집,Editing account details,Editing account details
inapp_checkout.customer.update,최신 정보,Update,Update
inapp_checkout.customer.next,다음,Next,Next
inapp_checkout.billing_address.header,청구서 수신 주소 추가,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,청구서 수신 주소 수정,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,최신 정보,Update,Update
inapp_checkout.billing_address.next,다음,Next,Next
inapp_checkout.shipping_address.header,배송지 주소 추가,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,배송지 주소 수정,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,최신 정보,Update,Update
inapp_checkout.shipping_address.next,다음,Next,Next
inapp_checkout.choose_sa.header,배송지 선택,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,내 청구 주소로 배송,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,새로운 걸 더하다,Add New,Add New
inapp_checkout.payment_method.choose.add,결제 방법 추가,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,결제 세부 정보 추가,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,결제 세부 정보 수정,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,결제 방법을 선택,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,다른 결제 방법 선택,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,최신 정보,Update,Update
inapp_checkout.payment_method.next,다음,Next,Next
inapp_checkout.subscription.header,구독 정보 추가,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,구매 세부 정보 추가,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,구독 세부 정보 편집,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,구매 세부 정보 편집,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,최신 정보,Update,Update
inapp_checkout.invoice.update,최신 정보,Update,Update
inapp_checkout.subscription.next,다음,Next,Next
inapp_checkout.invoice.next,다음,Next,Next
inapp_checkout.review.header,주문 완료,Complete your order,Complete your order
inapp_checkout.pay_review.header,주문 완료,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt, %{amount} 지불 및 구독,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,구독,Subscribe,Subscribe
inapp_checkout.review.order.header,주문 요약,Order summary,Order summary
inapp_checkout.review.account.header,계정,Account,Account
inapp_checkout.review.billing.header,청구,Billing,Billing
inapp_checkout.review.shipping.header,배송,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,청구 및 배송,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,구독 정보,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,구매 내역,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,지불,Payment,Payment
inapp_checkout.review.more,세부 사항 검토,Review Details,Review Details
