key,value,reference value,description
hp.portal.mark.backup,Marcați drept copie de rezervă,Mark as Backup,Marking a payment method as Backup
hp.billing_period.week, %{period} Săptămâni,%{period} Weeks,2 Weeks
hp.portal.powered_by,Cu sprijinul,Powered by,Powered by chargebee
hp.clientjs.cannot_be_blank,nu poate fi gol,cannot be blank,cannot be blank
action_error.post,Au apărut erori la trimitere,There were errors while submitting,There were errors while submitting
hp.change_link,Schimbare,Change,Change link
hp.portal.signed_up,Înscris la %{date},Signed up on %{date},Account signed up on 12-03-2016
hp.portal.invoice.showing,Se afișează,Showing,Showing invoice label
payment_method.info.card,card care se termină cu %{last4_digits},card ending with %{last4_digits},card ending with 4111
payment_method.info.direct_debit," %{bank_name}, număr de cont care se termină cu %{last4_digits}","%{bank_name}, Account number ending with %{last4_digits}",
hp.portal.chargebee_secure,Plată securizată Chargebee,Chargebee Secure Payment,Chargebee Secure Payment - security statement
hp.portal.payment_method_role.backup,Backup,Backup,Payment method is tagged as Backup
hp.gocardless.desc,Configurați debitul direct,Set up Direct Debit,Set up Direct Debit - gateway label
hp.portal.mark.primary,Marcați ca primar,Mark as Primary,Marking a payment method as Primary
hp.bt_apple_card,%{card_type} card,%{card_type} card,Visa Card
hp.apple_card_ending,Card care se termină ... %{digits},Card ending ... %{digits},Card Ending .. 4444
hp.clientjs.successful_card_update,ați actualizat cu succes detaliile cardului.,you have successfully updated your card details.,you have successfully updated your card details.
hp.amazon.desc,Plătiți în siguranță folosind informațiile din contul dvs. Amazon.,Pay securely using the information on your Amazon account.,Pay securely using the information on your Amazon account - one liner for amazon gateway payments
hp.portal.remove.backup,Eliminați Backup,Remove Backup,Unmarking a payment method as Backup
hp.card_ending, %{card_type} card se termină ... %{digits},%{card_type} card ending ... %{digits},Visa Card Ending .. 4444
hp.clientjs.successful_signup,v-ați înscris cu succes la serviciu,you have successfully signed up for the service,you have successfully signed up for the service
apple_pay.label.tax,TAXA (ÎNCĂ DE CALCULAT),TAX (YET TO BE CALCULATED),Label for tax amount
hp.portal.paypal_redirect,Redirecționarea către PayPal ...,Redirecting to PayPal...,Redirecting to PayPal... - info
hp.order_summary.terms_to_charge,pentru %{no_of_terms} termeni,for %{no_of_terms} terms,($100.00 x 3) for 2 terms
hp.clientjs.submit_error,Au apărut erori la trimitere,There were errors while submitting,There were errors while submitting
hp.clientjs.problem_while_processing,Problemă la procesarea formularului. Vă rugăm să verificați detaliile formularului.,Problem while processing your form. Please verify your form details.,Problem while processing your form. Please verify your form details.
hp.portal.payment_method_role.primary,Primar,Primary,Payment method is tagged as Primary
payment_method.info.paypal_express_checkout,Cont PayPal Express Checkout,PayPal Express Checkout account,PayPal Express Checkout account
hp.portal.ach_agree_details1,Prin (prin) autorizez și solicit %{merchant_name} prin prezenta să debit fonduri din contul meu (nostru) de la instituția financiară indicată și să creditez fondurile. (Noi) autorizăm %{merchant_name} să ia toate acțiunile necesare pentru a corecta orice erori.,"I (We) hereby authorize and request %{merchant_name} to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize %{merchant_name} to take any and all action required to correct any errors.","I (We) hereby authorize and request Chargebee to debit funds from my (our) account at the Financial Institution indicated, and credit the funds. I (we) authorize Chargebee to take any and all action required to correct any errors."
hp.portal.ach_agree_details2,"Dând clic pe butonul de mai jos, confirmați că informațiile pe care le-ați furnizat în acest Acord de autorizare de debitare ACH pentru plăți directe sunt complete, adevărate și trimise în scopul selectat mai sus. Va rămâne în vigoare până când voi (noi) notificăm %{merchant_name} că (noi) dorim să revoc această autorizație contactând %{merchant_email} sau %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above. It will remain in effect until I (we) notify %{merchant_name} that I (we) wish to revoke this authorization by contacting %{merchant_email} or %{merchant_phone}.","By clicking the button below, you certify that the information you have given on this ACH Debit Authorization Agreement for Direct Payments is complete, true, and submitted for the purpose selected above.  It will remain in effect until I (we) notify Chargebee that I (we) wish to revoke this authorization by contacting sam@example.com or 9898982345."
hp.bank_account.desc,Cont bancar,Bank Account,Bank Account label
hp.portal.date,Data,Date,Date
hp.gocardless.redirect,Redirecționarea către furnizorul de debit direct ...,Redirecting to Direct Debit Provider...,Redirecting to Direct Debit Provider... - info
hp.billing_period.year, %{period} Ani,%{period} Years,2 Months
hp.copied,Copiat,Copied,Copied URL
hp.error.undetermined_vat_number,Nu s-a putut valida numărul TVA deoarece serviciul VIES nu este disponibil.,Could not validate VAT number as VIES service is unavailable.,Could not validate VAT number as VIES service is unavailable.
apple_pay.label.charges,TAXE,CHARGES,Label for main line item amount
payment_method.info.amazon_payments,Contul Amazon Payments,Amazon Payments account,Amazon Payments account
hp.clientjs.invalid_coupon_code,Cod cupon nevalid,Invalid coupon code,Invalid coupon code
hp.error.undetermined_abn_number,"Imposibil de procesat ABN, deoarece serverul ABN Lookup este defect.",Unable to process the ABN as the ABN Lookup server is down.,Unable to process the ABN as the ABN Lookup server is down.
hp.portal.ach_agreement,Acord de autorizare ACH,ACH Authorization Agreement,ACH Authorization Agreement - Agreement label
hp.error.invalid_vat_number,Număr TVA nevalid,Invalid VAT Number,Invalid VAT Number
hp.portal.account,Cont,Account,Account user account label
hp.portal.manage,Administra,Manage,Portal account Manage label
hp.error.invalid_abn_number,ABN nevalid,Invalid ABN ,Invalid ABN
hp.billing_period.month, %{period} luni,%{period} Months,2 Months
action_error.get,Au apărut erori la procesarea solicitării dvs.,There were errors while processing your request,There were errors while processing your request
apple_pay.label.discount,REDUCERI,DISCOUNTS,Label for discount amount
hp.update_payment_method.details,Se actualizează detaliile metodei de plată ...,Updating the payment method details...,Updating the payment method details...
payment_method.info.direct_debit_no_bank_name,numărul contului bancar care se termină cu %{last4_digits},bank account number ending with %{last4_digits},
hp.paypal.desc,Modul de plată mai sigur și mai ușor,"The safer, easier way to pay","The safer, easier way to pay - one liner for paypal gateway payments"
hp.copy,Copie,Copy,Copy URL
hp.portal.bank_account,cont bancar,bank account,bank account label
