key,value,reference value,description
portal.action.success.not_signed_up,Te pole veel registreerunud. Oleme saatnud registreerimislingi teie e-posti aadressile.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup, %{payment_method} on varumakseviisina märgistamata.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,Selle e-posti aadressi abil olete oma kliendiportaali konto juba seadistanud. Palun logige siia sisse.,You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated, %{payment_method} üksikasju on värskendatud.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Olete ületanud selle pangakonto kinnitamise katsete maksimaalse arvu,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Te pole oma e-posti aadressi kinnitanud. Teie kontole on saadetud veel üks kinnitusmeil. Sisselogimiseks peate kinnitama oma e-posti ID.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Kui olete selle e-posti ID-ga liitunud, saate parooli lähtestamise juhised.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,URL näib olevat aegunud või vale. Uue lingi taotlemiseks sisestage oma e-posti aadress.,The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Te pole veel registreerumist lõpetanud. Oleme uuesti saatnud teie e-posti aadressile registreerumise linki.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Teie parool on edukalt muudetud.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} lisati makseviisiks,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Olete oma konto edukalt kinnitanud. Logi siia sisse.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Teie saatmisaadressi üksikasjade värskendamine õnnestus.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Arveldusaadressi üksikasjade värskendamine õnnestus.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Teie tellimus tühistati ja teie krediitkaart eemaldati.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Teie tellimus tühistati edukalt.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} kustutatud.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Olete oma kliendiportaali juba seadistanud. Kinnitusmeil on saadetud. Kinnitage oma e-posti aadress ja proovige sisse logida.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} on märgitud peamiseks makseviisiks.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Teie tellimuse värskendamine õnnestus.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Teie konto üksikasjade värskendamine õnnestus.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,Teie parool on aegunud. Palun muutke seda siin.,Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Edu: teie parool on lähtestatud! Logi siia sisse.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Saatsime teie registreerumise lõpuleviimiseks juhised e-kirjaga.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} on märgitud varumakseviisiks.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Pangakonto kontrollimine õnnestus.,The bank account is successfully verified.,The bank account is successfully verified.
