key,value,reference value,description
not_supported_for_moving_out_resource,"Sajnáljuk, ez a művelet most nem lehetséges. Kérjük, próbálja újra egy idő után, vagy forduljon hozzánk segítségért.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,A bejelentkezés helytelen hitelesítő adatok miatt nem sikerült.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,A Recaptcha ellenőrzése nem sikerült. Próbáld újra,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Jelszavának legalább 8 karakterből kell állnia,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,"Hoppá! Úgy tűnik, hogy ez az URL vagy lejárt, vagy érvénytelen.",Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Az ügyfélportálhoz való hozzáférés le van tiltva.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Hoppá! A visszatérési vagy visszavonási URL érvénytelen.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Az ügyfélportál API-n keresztüli hozzáférése le van tiltva.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Kérjük, ellenőrizze az e-mail azonosítót. Ez a feliratkozás csak akkor működik, ha Ön már előfizetője ennek a szolgáltatásnak.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Az új jelszó nem lehet a jelenlegi jelszó,New password should not be the current password,New password should not be the current password
subscription_canceled ,"Ez egy törölt előfizetés. Kérjük, további részletekért vegye fel velünk a kapcsolatot.",This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,A portál munkamenet aktiválása nem támogatott ehhez a kérelemhez.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Jelszavának legalább egy nagybetűből, kisbetűből és számból kell állnia","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,Még nem állította be az ügyfélportál fiókját. A kezdéshez használja a „Regisztráció” lehetőséget.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,A bejelentkezés helytelen hitelesítő adatok miatt nem sikerült.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,Még nem ellenőrizte e-mail címét. A kezdéshez használja a „Regisztráció” lehetőséget.,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Érvénytelen egyszeri jelszó,Invalid one time password,Invalid one time password
account_locked_error,Fiókját biztonsági okokból lezártuk.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,A portál token lejárt vagy érvénytelen.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,Az e-mail címet nem szabad frissíteni.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
