key,value,reference value,description
error.column.base_money.numeric,має бути числом,should be a number,
error.invalid_expiry_info,недійсна інформація про термін дії,invalid expiry info,
error.column.number.allow_negative,не повинно бути негативним,should not be negative,
error.column.email.main, має бути дійсним електронним листом, should be a valid email,
error.column.number.range.min_max,має бути в діапазоні %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,не повинен перевищувати %{max},should not exceed %{max},
error.column.number.range.max,не повинен перевищувати %{max},should not exceed %{max},
error.column.string.length.min, має містити щонайменше %{min} символів, should have atleast %{min} characters,
error.atleast_today,Має бути щонайменше сьогодні,Should be atleast today,
error.column.base_money.range.min,має бути не менше %{min},should be atleast %{min},
error.invalid_cvv,недійсний CVV,invalid CVV,
error.column.base_money.main, недійсний формат валюти, invalid currency format,
error.column.number.range.min,має бути не менше %{min},should be atleast %{min},
error.column.string.length.max, не повинен містити більше %{max} символів, should not have more than %{max} characters,
error.presence,не може бути порожнім,cannot be blank,
error.wrong_format,Має бути у форматі %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, має містити %{min} символів, should be of %{min} characters,
error.date_format,недійсний формат дати,invalid date format,
error.column.string.length.min_max, має містити від %{min} до %{max} символів, should be between %{min} and %{max} characters,
error.column.color.main,недійсний шістнадцятковий код кольору,invalid hex color code,
error.password.format,"Ваш пароль повинен містити щонайменше 8 символів і містити ціле число, алфавіт та спеціальний символ","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,десяткові значення не допускаються,decimal values are not allowed,
error.column.data.format_spaces, Недійсний формат дати, Invalid date format,
error.card_number,недійсний номер кредитної картки,invalid credit card number,
error.register_for_gst_should_be_enabled,Це обов’язково,This is mandatory,
error.column.uniqueness, %{column_name} вже існує,%{column_name} already exists,
error.column.base_money.range.min_max,має бути в діапазоні %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,має бути числом,should be a number,
error.vat_number_cannot_be_blank,Номер ПДВ не може бути порожнім,VAT Number cannot be empty,
