key,value,reference value,description
portal.action.success.not_signed_up,Še niste se prijavili. Povezavo za prijavo smo poslali na vaš e-poštni naslov.,You haven't signed up yet. We've sent the sign up link to your email.,You haven't signed up yet. We've sent the sign up link to your email.
portal.action.success.payment_src_removed_backup,Oznaka %{payment_method} ni označena kot rezervno plačilno sredstvo.,Unmarked %{payment_method} as Backup payment method.,after removing the tag to the payment method as Backup. eg: Unmarked Visa (...4444) as Backup payment method.
portal.action.notice.portal_login,"Račun portala za stranke ste že nastavili s tem e-poštnim naslovom. Prosimo, prijavite se tukaj.",You've already setup your customer portal account using this email address. Please login here.,You've already setup your customer portal account using this email address. Please login here.
portal.action.success.payment_src_updated,Podrobnosti %{payment_method} so posodobljene.,%{payment_method} details have been updated.,after the card details have been updated. eg: Visa (...4444) details have been updated.
portal.action.error.maximum_number_exceeded,Presegli ste največje število poskusov preverjanja tega bančnega računa,You have exceeded the maximum number of attempts to verify this bank account,You have exceeded the maximum number of attempts to verify this bank account
portal.action.success.email_not_verified_login,Niste preverili svojega e-poštnega naslova. Na vaš račun je bilo poslano drugo e-poštno sporočilo za preverjanje. Za prijavo morate potrditi svoj e-poštni ID.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.,You haven't verified your email. Another verfication email has been sent to your account. You need to verify your email ID to login.
portal.action.success.forgot_password,"Če ste se naročili s tem ID-jem e-pošte, boste prejeli navodila za ponastavitev gesla.",You will receive the password reset instructions if you have subscribed using this email ID.,You will receive the password reset instructions if you have subscribed using this email ID.
portal.action.error.url_expired_invalid,"Zdi se, da je URL potekel ali neveljaven. Vnesite svoj e-poštni naslov, če želite zahtevati drugo povezavo.",The URL appears to be either expired or invalid. Please enter your email address to request another link.,The URL appears to be either expired or invalid. Please enter your email address to request another link.
portal.action.success.not_completed_signup,Niste še zaključili prijave. Razveljavili smo povezavo za prijavo na vaš e-poštni naslov.,You haven't completed your sign up yet. We've resent the sign up link to your email.,You haven't completed your sign up yet. We've resent the sign up link to your email.
portal.action.success.change_password,Vaše geslo je bilo uspešno spremenjeno.,Your password has been changed successfully.,Your password has been changed successfully.
portal.action.success.payment_src_added, %{payment_method} je dodan kot plačilno sredstvo,%{payment_method} added as a payment method, after the card details have been added. eg: Visa (...4444) added as a payment method.
portal.action.success.verified_account,Uspešno ste preverili svoj račun. Prijavi se tukaj.,You have successfully verified your account. Login here.,You have successfully verified your account. Login here.
portal.action.success.shipping_address_update,Podrobnosti vašega naslova za dostavo so bile uspešno posodobljene.,Successfully updated your shipping address details.,Successfully updated your shipping address details.
portal.action.success.billing_address_update,Podrobnosti vašega naslova za izstavitev računa so bile uspešno posodobljene.,Successfully updated your billing address details.,Successfully updated your billing address details.
portal.action.success.subscription_cancelled_removed_card,Vaša naročnina je bila uspešno preklicana in vaša kreditna kartica odstranjena.,Successfully canceled your subscription and your credit card removed.,Successfully canceled your subscription and your credit card removed.
portal.action.success.subscription_cancelled,Vaša naročnina je bila uspešno preklicana.,Successfully canceled your subscription.,Successfully canceled your subscription.
portal.action.success.payment_method_removed, %{payment_method} izbrisano.,%{payment_method} deleted.,Deleting a payment method. eg: Visa (...4444) deleted.
portal.action.notice.email_not_verified,Portal za stranke ste že nastavili. Poslano je e-poštno sporočilo za preverjanje. Preverite svoj e-poštni naslov in se poskusite prijaviti.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.,You've already setup your customer portal. A verification email has been sent. Please verify your email address and try logging in.
portal.action.success.payment_src_marked_primary, %{payment_method} je označeno kot primarno plačilno sredstvo.,%{payment_method} marked as Primary payment method.,after associating a tag to the payment method as Primary. eg: Visa (...4444) marked as Primary payment method.
portal.action.success.subscription_change,Naročnina je bila uspešno posodobljena.,Successfully updated your subscription.,Successfully updated your subscription.
portal.action.success.account_update,Podrobnosti vašega računa so bile uspešno posodobljene.,Successfully updated your account details.,Successfully updated your account details.
portal.action.error.password_expired,"Vaše geslo je poteklo. Prosimo, spremenite ga tukaj.",Your password has expired. Please change it here.,Your password has expired. Please change it here.
portal.action.success.reset_password,Uspeh: Geslo je bilo ponastavljeno! Prijavi se tukaj.,Success: Your password has been reset! Login here.,Success: Your password has been reset! Login here.
portal.action.notice.complete_setup,Poslali smo e-poštno sporočilo z navodili za dokončanje prijave.,We've sent an email with instructions to complete your sign up.,We've sent an email with instructions to complete your sign up.
portal.action.success.payment_src_marked_backup, %{payment_method} je označeno kot rezervno plačilno sredstvo.,%{payment_method} marked as Backup payment method.,after associating a tag to the payment method as Backup. eg: Visa (...4444) marked as Backup payment method.
portal.action.success.bank_account_verified,Bančni račun je uspešno preverjen.,The bank account is successfully verified.,The bank account is successfully verified.
