key,value,reference value,description
not_supported_for_moving_out_resource,"Maaf, operasi ini tidak dapat dilakukan sekarang. Harap coba lagi setelah beberapa saat atau hubungi kami untuk mendapatkan bantuan.",Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,Login gagal karena kredensial salah.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,Verifikasi Recaptcha gagal. Coba lagi,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,Kata sandi Anda harus terdiri dari minimal 8 karakter,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,Ups! URL ini tampaknya kedaluwarsa atau tidak valid.,Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,Akses portal pelanggan dinonaktifkan.,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,Ups! URL pengembalian atau pembatalan tidak valid.,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,Akses portal pelanggan melalui API dinonaktifkan.,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,"Harap verifikasi id email. Pendaftaran ini hanya berfungsi jika Anda sudah menjadi ""Pelanggan"" layanan ini.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,Kata sandi baru seharusnya bukan kata sandi saat ini,New password should not be the current password,New password should not be the current password
subscription_canceled ,Ini adalah langganan yang dibatalkan. Silahkan hubungi kami untuk lebih jelasnya.,This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,Mengaktifkan sesi portal tidak didukung untuk permintaan ini.,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,"Kata sandi Anda harus memiliki setidaknya satu karakter huruf besar, karakter huruf kecil dan satu angka","Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,Anda belum menyiapkan akun portal pelanggan Anda. Gunakan opsi 'Daftar' untuk memulai.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,Login gagal karena kredensial salah.,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,Anda belum memverifikasi email Anda. Gunakan opsi 'Daftar' untuk memulai.,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,Kata sandi satu kali tidak valid,Invalid one time password,Invalid one time password
account_locked_error,Akun Anda telah dikunci karena alasan keamanan.,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,Token portal telah kedaluwarsa atau tidak valid.,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,Alamat email tidak diperbolehkan untuk diperbarui.,Email address is not allowed to be updated.,Email address is not allowed to be updated.
